TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.65,3.6,307.4368985766, ,0, ,0,-0.3
1,3, ,autonomous,0,1,0,6.1483176928,1,0,23.5438298927,20,0,20,23.5438298927,1,1.1007340989,3.69,3.8,308.86122865, ,0, ,0,-0.3
2,3, ,autonomous,0,1,0,6.1483176928,1,0,3.8616844271,20,0,20,3.8616844271,1,3.0641687314,3.39,3.45,310.2988177615, ,0, ,0,-0.3
3,3, ,autonomous,0,1,0,6.1483176928,1,0,-3.6449721574,20,0,20,-3.6449721574,1,4.2726210159,3.45,3.57,311.604138103, ,0, ,0,-0.3
4,3, ,autonomous,0,1,0,6.1483176928,1,0,-3.4023997903,20,0,20,-3.4023997903,1,4.9220593938,3.44,3.46,312.6270047207, ,0, ,0,-0.3
5,3, ,autonomous,0,1,0,6.1483176928,1,0,-2.7037822767,20,0,20,-2.7037822767,1,5.5678570186,3.55,3.45,313.8042489095, ,0, ,0,-0.3
6,3, ,autonomous,0,1,0,6.1483176928,1,0,-2.0741682251,20,0,20,-2.0741682251,1,6.4040653201,3.38,3.58,314.990392793, ,0, ,0,-0.3
7,3, ,autonomous,0,1,0,6.1483176928,1,0,-1.5548811836,20,0,20,-1.5548811836,1,6.9788908945,3.29,3.31,315.8859020122, ,0, ,0,-0.4
8,3, ,autonomous,0,1,0,6.1483176928,1,0,-1.0910887189,20,0,20,-1.0910887189,1,7.4926856856,3.2,3.15,316.9371196755, ,0, ,0,-0.4
9,3, ,autonomous,0,1,0,6.1483176928,1,0,-0.7657202547,20,0,20,-0.7657202547,1,7.8946528287,3.42,3.37,318.7555782226, ,0, ,0,-0.3
10,3, ,autonomous,0,1,0,6.1483176928,1,0,-0.522164204,20,0,20,-0.522164204,1,8.2316246576,3.58,3.6,319.6726552011, ,0, ,0,-0.3
11,4, ,autonomous,0,1,0,6.1483176928,1,0,-0.3468506275,20,0,20,-0.3468506275,1,8.5492554278,3.49,3.56,320.5950243652, ,0, ,0,-0.3
12,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.2324793242,20,0,20,-0.2324793242,1,8.865720237,3.33,3.35,320.9036647199, ,0, ,0,-0.4
13,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.1495162797,20,0,20,-0.1495162797,1,9.1813648879,3.19,3.15,318.9080588066, ,0, ,0,-0.4
14,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.0979567156,20,0,20,-0.0979567156,1,9.6906158409,3.23,3.21,314.693016962, ,0, ,0,-0.4
15,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.0610941973,20,0,20,-0.0610941973,1,10.0182550438,3.21,3.18,311.604138103, ,0, ,0,-0.4
16,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.0320106984,20,0,20,-0.0320106984,1,10.310866816,3.56,3.33,309.7221792053, ,0, ,0,-0.3
17,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.0202426725,20,0,20,-0.0202426725,1,10.573909161,5,5,309.1476798467, ,0, ,0,0
18,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.0182022333,20,0,20,-0.0182022333,1,10.8097219419,3.66,3.48,309.0043878623, ,0, ,0,-0.3
19,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.0071327808,20,0,20,-0.0071327808,1,11.0239140803,3.43,3.33,309.2911047878, ,0, ,0,-0.3
20,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.0102416421,20,0,20,-0.0102416421,1,11.2316557687,4.11,4.01,309.2911047878, ,0, ,0,-0.2
21,5, ,autonomous,0,1,0,6.1483176928,1,0,0.0023494414,20,0,20,0.0023494414,1,11.4374756587,4.37,4.26,308.7182020252, ,0, ,0,-0.2
22,5, ,autonomous,0,1,0,6.1483176928,1,0,-0.0038750094,20,0,20,-0.0038750094,1,11.6416117127,3.57,3.65,309.2911047878, ,0, ,0,-0.3
