TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0,3, ,autonomous,50,1,50,0,1,0,0,20,0,20,0,1,0,3.7,3.6,307, ,0, ,0,-0.3
1,3, ,autonomous,0,1,0,6,1,0,24,20,0,20,24,1,1,3.7,3.8,309, ,0, ,0,-0.3
2,3, ,autonomous,0,1,0,6,1,0,4,20,0,20,4,1,3,3.4,3.5,310, ,0, ,0,-0.3
3,3, ,autonomous,0,1,0,6,1,0,-4,20,0,20,-4,1,4,3.5,3.6,312, ,0, ,0,-0.3
4,3, ,autonomous,0,1,0,6,1,0,-3,20,0,20,-3,1,5,3.4,3.5,313, ,0, ,0,-0.3
5,3, ,autonomous,0,1,0,6,1,0,-3,20,0,20,-3,1,6,3.6,3.5,314, ,0, ,0,-0.3
6,3, ,autonomous,0,1,0,6,1,0,-2,20,0,20,-2,1,6,3.4,3.6,315, ,0, ,0,-0.3
7,3, ,autonomous,0,1,0,6,1,0,-2,20,0,20,-2,1,7,3.3,3.3,316, ,0, ,0,-0.4
8,3, ,autonomous,0,1,0,6,1,0,-1,20,0,20,-1,1,7,3.2,3.2,317, ,0, ,0,-0.4
9,3, ,autonomous,0,1,0,6,1,0,-1,20,0,20,-1,1,8,3.4,3.4,319, ,0, ,0,-0.3
10,3, ,autonomous,0,1,0,6,1,0,-1,20,0,20,-1,1,8,3.6,3.6,320, ,0, ,0,-0.3
11,4, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,9,3.5,3.6,321, ,0, ,0,-0.3
12,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,9,3.3,3.4,321, ,0, ,0,-0.4
13,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,9,3.2,3.2,319, ,0, ,0,-0.4
14,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,10,3.2,3.2,315, ,0, ,0,-0.4
15,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,10,3.2,3.2,312, ,0, ,0,-0.4
16,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,10,3.6,3.3,310, ,0, ,0,-0.3
17,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,11,5.0,5.0,309, ,0, ,0,0.0
18,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,11,3.7,3.5,309, ,0, ,0,-0.3
19,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,11,3.4,3.3,309, ,0, ,0,-0.3
20,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,11,4.1,4.0,309, ,0, ,0,-0.2
21,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,11,4.4,4.3,309, ,0, ,0,-0.2
22,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,12,3.6,3.7,309, ,0, ,0,-0.3
23,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,12,3.0,3.0,310, ,0, ,0,-0.4
24,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,12,3.1,3.1,311, ,0, ,0,-0.4
25,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,12,3.3,3.2,312, ,0, ,0,-0.4
26,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,12,3.0,3.1,314, ,0, ,0,-0.4
27,5, ,autonomous,0,1,0,6,1,0,0,20,0,20,0,1,13,3.3,3.4,313, ,0, ,0,-0.4
28,5, ,autonomous,0,1,0,0,1,0,0,20,0,20,0,1,13,3.4,3.4,312, ,0, ,0,-0.3
29,5, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,13,3.4,3.5,312, ,0, ,0,-0.3
30,5, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,13,3.2,3.4,306, ,0, ,0,-0.4
31,5, ,autonomous,0,1,0,2,1,0,63,20,0,20,63,1,14,3.5,3.4,297, ,0, ,0,-0.3
32,5, ,autonomous,0,1,0,-1,1,0,17,20,0,20,17,1,14,3.7,3.7,293, ,0, ,0,-0.3
33,5, ,autonomous,0,1,0,-1,1,0,27,20,0,20,27,1,14,3.6,3.6,291, ,0, ,0,-0.3
34,5, ,autonomous,0,1,0,-1,1,0,18,20,0,20,18,1,14,3.3,3.3,289, ,0, ,0,-0.4
35,5, ,autonomous,0,1,0,-1,1,0,21,20,0,20,21,1,14,3.4,3.4,287, ,0, ,0,-0.3
36,5, ,autonomous,0,1,0,-1,1,0,15,20,0,20,15,1,15,3.6,3.6,286, ,0, ,0,-0.3
37,5, ,autonomous,0,1,0,2,1,0,10,20,0,20,10,1,15,3.5,3.4,291, ,0, ,0,-0.3
38,5, ,autonomous,0,1,0,2,1,0,12,20,0,20,12,1,15,3.5,3.5,292, ,0, ,0,-0.3
39,5, ,autonomous,0,1,0,8,1,0,27,20,0,20,27,1,15,3.5,3.5,291, ,0, ,0,-0.3
40,5, ,autonomous,0,1,0,9,1,0,-33,20,0,20,-33,1,15,3.5,3.5,289, ,0, ,0,-0.3
41,0, ,manual,0,1,0,9,1,0,-19,0,0,20,-50,1,15,4.2,4.1,290, ,0,cyclist detected,37.3000297546,-0.2
42,0, ,manual,0,1,0,5,1,0,-10,0,0,20,-206,1,15,4.1,4.1,302, ,0,cyclist detected,26.882610321,-0.2
43,0, ,manual,0,1,0,11,1,0,-22,0,0,20,-173,1,15,4.0,3.9,294, ,0,cyclist detected,16.964515686,-0.2
44,0, ,manual,0,1,0,29,1,0,-58,0,0,20,-292,1,15,4.0,3.8,274, ,0, ,0,-0.2
45,0, ,manual,0,1,0,35,1,0,-69,0,0,20,80,1,15,3.7,3.6,253, ,0, ,0,-0.3
46,0, ,manual,0,1,0,14,1,0,-27,0,0,20,63,1,14,3.7,3.6,242, ,0, ,0,-0.3
47,0, ,manual,0,1,0,3,1,0,-6,0,0,20,228,1,14,3.9,3.8,244, ,0, ,0,-0.3
48,0, ,manual,0,1,59,0,1,0,-1,59,0,20,70,1,14,4.4,4.3,239, ,0, ,0,-0.2
49,0, ,manual,0,1,0,-2,1,0,4,0,0,20,113,1,15,4.0,4.1,236, ,0, ,0,-0.2
50,0, ,manual,0,1,0,-4,1,0,8,0,0,20,113,1,14,4.4,4.2,233, ,0, ,0,-0.2
51,0, ,manual,0,1,2,-2,1,0,4,2,0,20,83,1,14,4.0,3.9,225, ,0, ,0,-0.2
52,0, ,manual,0,1,37,0,1,0,0,37,0,20,56,1,14,3.7,3.6,221, ,0, ,0,-0.3
53,0, ,manual,0,1,25,2,1,0,-4,25,0,20,49,1,14,3.8,3.7,208, ,0, ,0,-0.3
54,0, ,manual,0,1,0,-2,1,0,5,0,0,20,63,1,14,4.0,3.8,209, ,0, ,0,-0.2
55,3, ,autonomous,0,1,0,-4,1,0,-34,20,0,20,-34,1,14,4.5,5.0,210, ,0, ,0,-0.1
56,3, ,autonomous,0,1,0,-4,1,0,7,20,0,20,7,1,14,3.8,3.7,208, ,0, ,0,-0.3
57,3, ,autonomous,0,1,0,-4,1,0,72,20,0,20,72,1,14,3.9,3.7,210, ,0, ,0,-0.3
58,3, ,autonomous,0,1,0,-4,1,0,11,20,0,20,11,1,15,3.9,3.8,215, ,0, ,0,-0.3
59,3, ,autonomous,0,1,0,-4,1,0,4,20,0,20,4,1,15,3.4,3.4,247, ,0, ,0,-0.3
60,3, ,autonomous,0,1,0,-4,1,0,6,20,0,20,6,1,15,3.4,3.3,247, ,0, ,0,-0.4
61,3, ,autonomous,0,1,0,2,1,0,9,20,0,20,9,1,15,4.0,3.9,249, ,0, ,0,-0.2
62,5, ,autonomous,0,1,0,2,1,0,14,20,0,20,14,1,15,3.8,3.8,249, ,0, ,0,-0.3
63,5, ,autonomous,0,1,0,2,1,0,15,20,0,20,15,1,15,3.8,3.7,255, ,0, ,0,-0.3
64,5, ,autonomous,0,1,0,2,1,0,8,20,0,20,8,1,15,3.9,3.8,254, ,0, ,0,-0.3
65,5, ,autonomous,0,1,0,2,1,0,12,20,0,20,12,1,15,3.9,3.8,256, ,0, ,0,-0.3
66,5, ,autonomous,0,1,0,2,1,0,21,20,0,20,21,1,16,3.8,3.8,256, ,0, ,0,-0.3
67,5, ,autonomous,0,1,0,2,1,0,23,15,0,15,23,1,16,3.8,3.7,257, ,0, ,0,-0.3
68,5, ,autonomous,0,1,0,2,1,0,30,15,0,15,30,1,16,3.6,3.6,259, ,0, ,0,-0.3
69,5, ,autonomous,0,1,0,2,1,0,40,15,0,15,40,1,16,4.1,4.1,259, ,0, ,0,-0.2
