TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0,3, ,autonomous,50,1,50,0,1,0,0,20,0,20,0,1,0,4.1,4.4,259, ,0, ,0,-0.2
1,3, ,autonomous,0,1,0,2,1,0,30,20,0,20,30,1,1,4.0,4.1,259, ,0, ,0,-0.2
2,3, ,autonomous,0,1,0,2,1,0,5,20,0,20,5,1,3,3.5,3.4,260, ,0, ,0,-0.3
3,3, ,autonomous,0,1,0,2,1,0,-4,20,0,20,-4,1,4,3.7,3.7,259, ,0, ,0,-0.3
4,3, ,autonomous,0,1,0,2,1,0,-4,20,0,20,-4,1,5,3.8,3.8,260, ,0, ,0,-0.3
5,3, ,autonomous,0,1,0,2,1,0,-3,20,0,20,-3,1,6,3.7,3.7,260, ,0, ,0,-0.3
6,3, ,autonomous,0,1,0,2,1,0,-2,20,0,20,-2,1,6,3.7,3.6,260, ,0, ,0,-0.3
7,3, ,autonomous,0,1,0,2,1,0,-2,20,0,20,-2,1,7,4.1,4.1,255, ,0, ,0,-0.2
8,4, ,autonomous,0,1,0,2,1,0,-1,20,0,20,-1,1,7,3.5,3.4,255, ,0, ,0,-0.3
9,4, ,autonomous,0,1,0,2,1,0,-1,20,0,20,-1,1,8,3.3,3.3,258, ,0, ,0,-0.4
10,4, ,autonomous,0,1,0,2,1,0,-1,20,0,20,-1,1,8,3.6,3.6,259, ,0, ,0,-0.3
11,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,9,3.9,4.0,257, ,0, ,0,-0.2
12,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,9,3.7,3.9,255, ,0, ,0,-0.3
13,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,9,3.6,3.7,255, ,0, ,0,-0.3
14,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,10,3.5,3.5,252, ,0, ,0,-0.3
15,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,10,3.7,3.7,255, ,0, ,0,-0.3
16,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,10,3.5,3.7,270, ,0, ,0,-0.3
17,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,11,3.7,3.9,264, ,0, ,0,-0.3
18,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,11,3.7,3.8,271, ,0, ,0,-0.3
19,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,11,3.8,3.9,263, ,0, ,0,-0.3
20,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,11,4.0,3.5,269, ,0, ,0,-0.3
21,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,11,3.7,3.7,260, ,0, ,0,-0.3
22,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,12,4.1,4.2,260, ,0, ,0,-0.2
23,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,12,3.6,3.7,257, ,0, ,0,-0.3
24,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,12,3.9,3.9,255, ,0, ,0,-0.2
25,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,12,3.9,3.8,248, ,0, ,0,-0.3
26,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,12,4.2,4.1,242, ,0, ,0,-0.2
27,4, ,autonomous,0,1,0,2,1,0,0,20,0,20,0,1,13,4.0,4.0,239, ,0, ,0,-0.2
28,4,pedestrian alarm,autonomous,7,1,0,2,1,0,0,0,0,0,0,1,13,3.8,3.7,237, ,0,pedestrian detected,39.1130599976,-0.3
29,2,pedestrian alarm,autonomous,5,1,0,2,1,28,0,0,28,0,0,1,13,3.9,3.8,235, ,0,pedestrian detected,26.3108997345,-0.3
30,1,pedestrian alarm,autonomous,7,1,0,2,1,82,0,0,82,0,0,1,9,4.2,4.1,235, ,0,pedestrian detected,15.5562896729,-0.2
31,1,pedestrian alarm,autonomous,4,1,0,2,1,100,0,0,100,0,0,1,3,3.7,3.7,235, ,0,pedestrian detected,10.2896299362,-0.3
32,1, ,autonomous,0,1,0,-2,1,0,0,20,0,20,0,1,2,4.2,4.1,235, ,0, ,0,-0.2
33,1, ,autonomous,0,1,0,-2,1,0,0,20,0,20,0,1,3,4.2,4.3,234, ,0, ,0,-0.2
34,3, ,autonomous,0,1,0,-2,1,0,0,20,0,20,0,1,4,3.6,3.7,235, ,0, ,0,-0.3
35,2, ,autonomous,0,1,0,-2,1,0,76,20,0,20,76,1,5,3.7,3.8,232, ,0, ,0,-0.3
36,2, ,autonomous,0,1,0,-2,1,0,77,20,0,20,77,1,6,3.9,3.7,230, ,0, ,0,-0.3
37,2, ,autonomous,0,1,0,-2,1,0,52,20,0,20,52,1,7,3.4,3.5,229, ,0, ,0,-0.3
38,2, ,autonomous,0,1,0,-2,1,0,40,20,0,20,40,1,7,3.5,3.7,230, ,0, ,0,-0.3
39,2, ,autonomous,0,1,0,-2,1,0,29,20,0,20,29,1,8,3.4,3.4,232, ,0, ,0,-0.3
40,2, ,autonomous,0,1,0,-2,1,0,21,20,0,20,21,1,8,3.2,3.3,233, ,0, ,0,-0.4
