TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.33,3.35,259.0539350293, ,0, ,0,-0.4
1,3, ,autonomous,30.9758144503,1,49.9992370489,0.001373312,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,3.31,3.39,257.0561924837, ,0, ,0,-0.4
2,3, ,autonomous,25.8640421149,1,49.9992370489,0.001373312,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,3.38,3.57,255.970512197, ,0, ,0,-0.3
3,3, ,autonomous,27.7622644388,1,49.9992370489,0.001373312,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,3.41,3.41,256.2656962739, ,0, ,0,-0.3
4,3, ,autonomous,28.6396581979,1,49.9992370489,0.001373312,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,3.49,3.41,256.8581115792, ,0, ,0,-0.3
5,3,cyclist alarm,autonomous,29.2225528344,1,49.9992370489,0.001373312,1,0,-1.0986820531,20,0,20,-1.0986820531,1,5.5085619404,3.31,3.39,261.0829721686, ,0,false alarm,38.1651000977,-0.4
6,3,cyclist alarm,autonomous,29.3690394446,1,49.9992370489,0.001373312,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,3.54,3.54,269.5272492049, ,0,false alarm,31.9278945923,-0.3
7,3,cyclist alarm,autonomous,29.662012665,1,49.9992370489,0.001373312,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,3.59,3.59,276.5716182205, ,0,false alarm,25.5967979431,-0.3
8,3,cyclist alarm,autonomous,29.5155260548,1,49.9992370489,0.001373312,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,3.69,3.64,274.5216460318, ,0,false alarm,18.6075611115,-0.3
9,3, ,autonomous,25.7175555047,1,49.9992370489,0.001373312,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8763773234,3.4,3.55,268.6583203482, ,0, ,0,-0.3
10,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,3.76,3.74,261.8006649737, ,0, ,0,-0.3
11,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.1432081844,20,0,20,-0.1432081844,1,8.5492553782,3.38,3.46,259.8617535471, ,0, ,0,-0.3
12,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,3.56,3.57,260.4709314441, ,0, ,0,-0.3
13,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0643272196,20,0,20,-0.0643272196,1,9.1656029449,3.36,3.41,260.5727388801, ,0, ,0,-0.3
14,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,3.49,3.54,260.6746259319, ,0, ,0,-0.3
15,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,3.67,3.7,261.0829721686, ,0, ,0,-0.3
16,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0206823721,20,0,20,-0.0206823721,1,10.3108668157,3.63,3.64,274.0702167895, ,0, ,0,-0.3
17,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0073685071,20,0,20,-0.0073685071,1,10.5739091609,3.58,3.59,265.4491399448, ,0, ,0,-0.3
18,3, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0082435262,20,0,20,-0.0082435262,1,10.8097219419,3.59,3.53,266.0848278431, ,0, ,0,-0.3
19,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0036909171,20,0,20,-0.0036909171,1,11.0134677116,3.56,3.53,266.1910719514, ,0, ,0,-0.3
20,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,0.000956535,20,0,20,0.000956535,1,11.2316557686,3.3,3.33,263.560170787, ,0, ,0,-0.4
21,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,0.0014617268,20,0,20,0.0014617268,1,11.4374756587,4.35,3.99,263.6644079416, ,0, ,0,-0.2
22,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,0.000784089,20,0,20,0.000784089,1,11.6416117127,5,3.64,262.1094569092, ,0, ,0,-0.2
23,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0043090361,20,0,20,-0.0043090361,1,11.8446842093,3.53,3.61,260.2675550466, ,0, ,0,-0.3
24,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0017874284,20,0,20,-0.0017874284,1,12.0466863685,3.89,3.82,263.9776146983, ,0, ,0,-0.3
25,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,0.0060314047,20,0,20,0.0060314047,1,12.2476024625,3.88,3.95,264.1868329282, ,0, ,0,-0.2
26,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,0.0033371552,20,0,20,0.0033371552,1,12.4474171339,3.87,4,260.4709314441, ,0, ,0,-0.2
27,5,truck alarm,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0001447546,20,0,20,-0.0001447546,1,12.6461154691,3.6,3.62,261.2876254181, ,0,truck detected,20.6361484528,-0.3
28,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,-0.0005960473,20,0,20,-0.0005960473,1,12.873518519,3.55,3.61,266.616898179, ,0, ,0,-0.3
29,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,0.0017746464,20,0,20,0.0017746464,1,13.2096546434,3.82,3.78,268.4419628476, ,0, ,0,-0.3
30,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,0.0088870322,20,0,20,0.0088870322,1,13.4327449667,3.95,3.93,268.5500980208, ,0, ,0,-0.2
31,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,107.9451255895,20,0,20,107.9451255895,1,13.640535639,4.17,4.14,266.5103139492, ,0, ,0,-0.2
32,5, ,autonomous,0,1,49.9992370489,0.001373312,1,0,15.1436635265,20,0,20,15.1436635265,1,13.8353289971,4.12,4.24,265.7666037686, ,0, ,0,-0.2
33,4, ,autonomous,0,1,49.9992370489,0.001373312,1,0,21.8694430578,20,0,20,21.8694430578,1,14.0199493114,3.99,3.88,265.872593853, ,0, ,0,-0.2
34,4, ,autonomous,0,1,49.9992370489,0.001373312,1,0,2.3158984243,20,0,20,2.3158984243,1,14.1940165901,3.86,3.76,268.8750268875, ,0, ,0,-0.3
35,4, ,autonomous,0,1,49.9992370489,0.001373312,1,0,13.1497267016,20,0,20,13.1497267016,1,14.3584830171,3.85,3.76,266.8303225979, ,0, ,0,-0.3
36,4, ,autonomous,0,1,49.9992370489,0.001373312,1,0,16.321091065,20,0,20,16.321091065,1,14.5137146183,3.75,3.84,265.3434871441, ,0, ,0,-0.3
37,4, ,autonomous,0,1,49.9992370489,0.001373312,1,0,10.3537737776,20,0,20,10.3537737776,1,14.6536825102,3.61,3.69,264.921715633, ,0, ,0,-0.3
38,4, ,autonomous,0,1,49.9992370489,0.001373312,1,0,11.9756215823,20,0,20,11.9756215823,1,14.8018026026,3.64,3.7,265.6606981563, ,0, ,0,-0.3
39,4, ,autonomous,0,1,49.9992370489,1.9157701991,1,0,-23.6353166051,20,0,20,-23.6353166051,1,14.9367764764,3.85,4,266.5103139492, ,0, ,0,-0.2
40,4, ,autonomous,0,1,49.9992370489,2.0064087892,1,0,-31.7245929812,20,0,20,-31.7245929812,1,15.0653687073,3.88,3.98,263.4560160181, ,0, ,0,-0.2
41,4, ,autonomous,0,1,49.9992370489,2.0064087892,1,0,-38.8588705286,20,0,20,-38.8588705286,1,15.1878629682,3.71,3.94,256.7591855599, ,0, ,0,-0.3
42,4, ,autonomous,0,1,49.9992370489,2.1409933623,1,0,-30.9188774517,20,0,20,-27.9544025269,1,15.2983143361,5.27,5,249.6442569339, ,0, ,0,0
43,4, ,autonomous,3.5034714275,1,49.9992370489,2.1409933623,1,0,-34.5834774278,20,0,20,-34.5834774278,1,15.4140631668,3.41,3.51,244.6064282569, ,0, ,0,-0.3
44,4, ,autonomous,3.7949187457,1,49.9992370489,2.1409933623,1,0,-19.0923233658,20,0,20,-19.0923233658,1,15.5181788269,3.32,3.43,243.5341678437, ,0, ,0,-0.3
45,4, ,autonomous,4.0878919661,1,49.9992370489,2.1327534905,1,0,-19.6539404229,20,0,20,-19.6539404229,1,15.6117764172,3.49,3.6,243.9797984727, ,0, ,0,-0.3
46,4, ,autonomous,5.1102464332,1,49.9992370489,2.1327534905,1,0,-13.3352846762,15,0,15,-13.3352846762,1,15.6796754924,3.27,3.21,243.3563710698, ,0, ,0,-0.4
47,4, ,autonomous,5.1102464332,1,49.9992370489,2.1327534905,1,0,-8.1212634054,20,0,20,-8.1212634054,1,15.6369514576,3.42,3.35,243.1788337143, ,0, ,0,-0.3
48,4, ,autonomous,5.2567330434,1,49.9992370489,2.1327534905,1,0,-10.2113569821,15,0,15,-10.2113569821,1,15.6724544892,3.58,3.52,244.4270629644, ,0, ,0,-0.3
49,4, ,autonomous,5.4032196536,1,49.9992370489,2.1327534905,1,0,-7.730367091,20,0,20,-7.730367091,1,15.6344118746,3.64,3.69,246.3236199719, ,0, ,0,-0.3
50,4, ,autonomous,5.1102464332,1,49.9992370489,2.1327534905,1,0,-3.8397627461,15,0,15,-3.8397627461,1,15.6710660646,3.9,3.95,248.2498386376, ,0, ,0,-0.2
51,4, ,autonomous,5.1102464332,1,49.9992370489,2.1327534905,1,0,-3.2868442868,20,0,20,-3.2868442868,1,15.636707919,3.73,3.35,250.5826045556, ,0, ,0,-0.3
52,4, ,autonomous,5.2567330434,1,49.9992370489,2.1327534905,1,0,-0.2974617622,15,0,15,-0.2974617622,1,15.6683798662,3.41,3.44,252.0987218595, ,0, ,0,-0.3
53,4, ,autonomous,0,1,49.9992370489,2.1327534905,1,0,3.9138896077,20,0,20,3.9138896077,1,15.6413787767,3.66,3.52,251.4331690637, ,0, ,0,-0.3
54,4, ,autonomous,0,1,49.9992370489,2.1327534905,1,0,12.3077101863,15,0,15,12.3077101863,1,15.6647815577,3.56,3.6,251.5280327993, ,0, ,0,-0.3
55,4, ,autonomous,4.2343785763,1,49.9992370489,2.1327534905,1,0,33.7223510196,15,0,15,33.7223510196,1,15.6477612862,3.65,3.72,252.8636811895, ,0, ,0,-0.3
56,4, ,autonomous,4.963759823,1,49.9992370489,2.1327534905,1,0,30.0507727251,15,0,15,30.0507727251,1,15.6605773971,3.83,3.9,254.1166903842, ,0, ,0,-0.3
57,4, ,autonomous,5.5481803616,1,49.9992370489,2.1327534905,1,0,25.6955336073,15,0,15,25.6955336073,1,15.6515222222,3.72,3.69,255.7741003146, ,0, ,0,-0.3
58,4, ,autonomous,5.4032196536,1,49.9992370489,2.1327534905,1,0,14.4023343659,15,0,15,14.4023343659,1,15.6559900923,3.71,3.78,257.1553475455, ,0, ,0,-0.3
59,4, ,autonomous,6.2790875105,1,49.9992370489,2.1327534905,1,0,10.5247247818,15,0,15,10.5247247818,1,15.6628823548,3.65,3.78,258.6519062645, ,0, ,0,-0.3
60,4, ,autonomous,6.2790875105,1,49.9992370489,2.1327534905,1,0,1.5585169319,15,0,15,1.5585169319,1,15.6511517114,4.01,3.97,258.8527645475, ,0, ,0,-0.2
61,4, ,autonomous,6.4255741207,1,49.9992370489,2.1327534905,1,0,11.2941961078,15,0,15,11.2941961078,1,15.6690410707,3.59,3.61,259.3562777187, ,0, ,0,-0.3
62,4, ,autonomous,5.2567330434,1,49.9992370489,2.1327534905,1,0,19.8541831655,20,0,20,19.8541831655,1,15.6461828553,3.68,3.7,260.2675550466, ,0, ,0,-0.3
63,4, ,autonomous,5.4032196536,1,49.9992370489,2.1327534905,1,0,14.2353104299,15,0,15,14.2353104299,1,15.6729000458,3.71,3.75,261.4925997594, ,0, ,0,-0.3
64,4, ,autonomous,5.6946669718,1,49.9992370489,2.1327534905,1,0,11.5564539858,20,0,20,11.5564539858,1,15.6437201725,3.84,3.79,262.5223143967, ,0, ,0,-0.3
65,3, ,autonomous,5.2567330434,1,49.9992370489,2.1409933623,1,0,18.7904655443,15,0,15,18.7904655443,1,15.6745200026,3.85,3.8,263.8731297992, ,0, ,0,-0.3
66,3, ,autonomous,5.5481803616,1,49.9992370489,2.1409933623,1,0,27.0103894077,20,0,20,27.0103894077,1,15.6372304352,3.64,3.54,264.5012828312, ,0, ,0,-0.3
67,3, ,autonomous,0,1,49.9992370489,2.1409933623,1,0,38.1299468615,15,0,15,38.1299468615,1,15.6747178829,3.56,3.55,262.9364745477, ,0, ,0,-0.3
68,3, ,autonomous,0,1,49.9992370489,2.1409933623,1,0,50.8422665424,20,0,20,50.8422665424,1,15.6337755062,3.62,3.6,258.9533107181, ,0, ,0,-0.3
69,3, ,autonomous,0,1,49.9992370489,2.1409933623,1,0,32.3690602768,15,0,15,32.3690602768,1,15.6765471317,3.46,3.5,257.0561924837, ,0, ,0,-0.3
70,3, ,autonomous,0,1,49.9992370489,2.1409933623,1,0,14.7411141324,20,0,20,14.7411141324,1,15.6367631469,3.79,3.7,256.5615619468, ,0, ,0,-0.3
71,2, ,autonomous,0,1,49.9992370489,2.5474937057,1,0,3.9170480949,15,0,15,3.9170480949,1,15.6732267239,3.73,3.75,252.6720064684, ,0, ,0,-0.3
72,2, ,autonomous,0,1,49.9992370489,2.5474937057,1,0,-0.3923061486,20,0,20,-0.3923061486,1,15.6363713401,3.51,3.46,246.8709112005, ,0, ,0,-0.3
73,2, ,autonomous,0,1,49.9992370489,2.5474937057,1,0,-4.4863218738,15,0,15,-4.4863218738,1,15.6723140281,3.66,3.75,242.3831107448, ,0, ,0,-0.3
74,2, ,autonomous,0,1,49.9992370489,2.5474937057,1,0,-4.8053567988,20,0,20,-4.8053567988,1,15.6378408333,3.44,3.47,238.6520929789, ,0, ,0,-0.3
75,2,cyclist alarm,autonomous,0,1,49.9992370489,2.5474937057,1,0,47.5275175912,15,0,15,47.5275175912,1,15.6697834909,3.5,3.54,237.8008180348,cyclist detected,39.1844825745,cyclist detected,35.0911827087,-0.3
76,2,cyclist alarm,autonomous,0,1,49.9992370489,2.5474937057,1,0,0.9977551443,20,0,20,0.9977551443,1,15.6423492808,3.75,3.87,238.3960712327, ,0,cyclist detected,23.8172054291,-0.3
77,2,cyclist alarm,autonomous,0,1,49.9992370489,2.5474937057,1,0,-48.8844443191,15,0,15,-48.8844443191,1,15.6635393155,3.74,3.74,239.5955626902, ,0,cyclist detected,12.6891899109,-0.3
78,2, ,autonomous,0,1,49.9992370489,2.5474937057,1,0,-42.7615891302,20,0,20,-42.7615891302,1,15.6461009239,3.69,3.66,240.2864214143, ,0, ,0,-0.3
79,3, ,autonomous,0,1,49.9992370489,2.5474937057,1,0,-23.6715515587,15,0,15,-23.6715515587,1,15.6657071449,3.62,3.53,239.0800200827, ,0, ,0,-0.3
80,3, ,autonomous,0,1,49.9992370489,2.5474937057,1,0,-13.2275884885,20,0,20,-13.2275884885,1,15.644774357,3.49,3.43,238.0555621682, ,0, ,0,-0.3
81,3, ,autonomous,0,1,49.9992370489,2.5474937057,1,0,-9.8933411352,15,0,15,-9.8933411352,1,15.6608153793,3.24,3.33,238.6520929789, ,0, ,0,-0.4
82,3, ,autonomous,0,1,49.9992370489,2.9704737926,1,0,-10.6980220786,15,0,15,-10.6980220786,1,15.6517161773,3.68,3.7,239.1657897254, ,0, ,0,-0.3
83,3, ,autonomous,6.1326009003,1,49.9992370489,2.951247425,1,0,-17.3032778858,15,0,15,-17.3032778858,1,15.658611205,3.6,3.64,240.8071856864, ,0, ,0,-0.3
84,3, ,autonomous,7.3105973907,1,49.9992370489,2.9622339208,1,0,-21.9465098617,15,0,15,-21.9465098617,1,15.663069887,3.76,3.8,242.3831107448, ,0, ,0,-0.3
85,3, ,autonomous,7.1641107805,1,49.9992370489,2.9622339208,1,0,-19.9029729983,15,0,15,-19.9029729983,1,15.6513322314,3.65,3.62,240.4597590593, ,0, ,0,-0.3
86,3, ,autonomous,7.3105973907,1,49.9992370489,2.9622339208,1,0,-20.1984093138,15,0,15,-20.1984093138,1,15.6664441185,3.91,3.96,238.9943119354, ,0, ,0,-0.2
