Subject,P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|EventW_Machine== ), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|EventW_Machine==false alarm), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|rate of change of Trust_Human==0), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|rate of change of Trust_Human>0), P(rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10|rate of change of Trust_Human<0), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human==0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human>0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human<0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|EventW_Machine== ), P(rate of change of Trust_Human==0|EventW_Machine== ), P(rate of change of Trust_Human>0|EventW_Machine== ), P(rate of change of Trust_Human<0|EventW_Machine== ), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|EventW_Machine==false alarm), P(rate of change of Trust_Human==0|EventW_Machine==false alarm), P(rate of change of Trust_Human>0|EventW_Machine==false alarm), P(rate of change of Trust_Human<0|EventW_Machine==false alarm), P(EventW_Machine== |rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(EventW_Machine==false alarm|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(rate of change of Trust_Human==0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(rate of change of Trust_Human>0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(rate of change of Trust_Human<0|rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10), P(EventW_Machine== |rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(EventW_Machine==false alarm|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(rate of change of Trust_Human==0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(rate of change of Trust_Human>0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(rate of change of Trust_Human<0|rate of change of CurrentWheel_Machine>=10||CurrentWheel_Machine<=-10), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|rate of change of Trust_Human<0), P(EventW_Machine== |rate of change of Trust_Human<0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human<0), P(EventW_Machine==false alarm|rate of change of Trust_Human<0), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|rate of change of Trust_Human==0), P(EventW_Machine== |rate of change of Trust_Human==0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human==0), P(EventW_Machine==false alarm|rate of change of Trust_Human==0), P(rate of change of CurrentWheel_Machine<10&&CurrentWheel_Machine>-10|rate of change of Trust_Human>0), P(EventW_Machine== |rate of change of Trust_Human>0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human>0), P(EventW_Machine==false alarm|rate of change of Trust_Human>0)
S10,0.628,0.549,0.235,0.641,0.489,0.695,0.451,0.575,0.320,0.105,0.372,0.780,0.101,0.119,0.765,0.576,0.031,0.393,0.928,0.061,0.011,0.769,0.119,0.112,0.914,0.081,0.005,0.763,0.113,0.124,0.305,0.923,0.055,0.021,0.359,0.948,0.047,0.005,0.511,0.822,0.176,0.002
S11,0.629,0.534,0.249,0.611,0.656,0.680,0.466,0.585,0.158,0.256,0.371,0.781,0.111,0.108,0.751,0.925,0.075,0.0,0.916,0.072,0.013,0.751,0.120,0.129,0.921,0.075,0.004,0.772,0.112,0.115,0.320,0.823,0.177,0.0,0.389,0.929,0.063,0.008,0.344,0.882,0.114,0.004
S12,0.630,0.526,0.251,0.602,0.696,0.898,0.474,0.611,0.279,0.110,0.370,0.778,0.100,0.122,0.749,1.000,0.0,0.0,0.922,0.067,0.012,0.757,0.138,0.105,0.917,0.078,0.005,0.769,0.103,0.128,0.102,0.923,0.077,0.0,0.398,0.926,0.066,0.008,0.304,0.797,0.203,0.0
S13,0.630,0.503,0.412,0.639,0.473,0.477,0.497,0.787,0.103,0.110,0.370,0.766,0.116,0.117,0.588,0.434,0.071,0.495,0.916,0.072,0.012,0.708,0.130,0.162,0.920,0.075,0.004,0.797,0.107,0.096,0.523,0.896,0.067,0.038,0.361,0.920,0.075,0.005,0.527,0.929,0.065,0.006
S14,0.633,0.497,0.237,0.648,0.416,0.602,0.503,0.675,0.095,0.230,0.367,0.772,0.117,0.111,0.763,0.840,0.053,0.107,0.903,0.082,0.015,0.748,0.127,0.125,0.927,0.070,0.003,0.774,0.109,0.118,0.398,0.849,0.145,0.006,0.352,0.926,0.066,0.008,0.584,0.935,0.062,0.003
S15,0.633,0.486,0.195,0.639,0.536,0.608,0.514,0.690,0.207,0.103,0.367,0.774,0.108,0.118,0.805,0.194,0.187,0.619,0.914,0.076,0.010,0.739,0.112,0.149,0.921,0.073,0.006,0.775,0.116,0.109,0.392,0.906,0.061,0.033,0.361,0.933,0.065,0.002,0.464,0.861,0.129,0.010
S16,0.631,0.494,0.418,0.614,0.510,0.755,0.506,0.729,0.178,0.093,0.369,0.768,0.109,0.122,0.582,0.664,0.270,0.066,0.915,0.073,0.012,0.784,0.062,0.154,0.921,0.075,0.004,0.755,0.142,0.103,0.245,0.941,0.055,0.003,0.386,0.926,0.068,0.006,0.490,0.875,0.110,0.015
S17,0.628,0.552,0.215,0.620,0.643,0.583,0.448,0.491,0.247,0.262,0.372,0.790,0.103,0.107,0.785,0.932,0.0,0.068,0.922,0.068,0.009,0.820,0.093,0.088,0.917,0.077,0.006,0.736,0.127,0.137,0.417,0.819,0.178,0.004,0.380,0.940,0.052,0.008,0.357,0.825,0.175,0.0
S21,0.633,0.495,0.249,0.626,0.557,0.662,0.505,0.590,0.340,0.070,0.367,0.779,0.099,0.122,0.751,0.659,0.030,0.312,0.918,0.075,0.007,0.752,0.125,0.123,0.920,0.073,0.007,0.772,0.110,0.118,0.338,0.946,0.037,0.017,0.374,0.945,0.049,0.006,0.443,0.807,0.191,0.002
S22,0.628,0.540,0.292,0.650,0.419,0.589,0.460,0.746,0.110,0.143,0.372,0.770,0.115,0.114,0.708,0.292,0.103,0.605,0.890,0.100,0.010,0.662,0.150,0.188,0.930,0.064,0.006,0.805,0.101,0.093,0.411,0.871,0.089,0.040,0.350,0.924,0.073,0.003,0.581,0.922,0.071,0.007
