Subject,P(rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5|EventW_Machine== ), P(rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5|EventW_Machine==false alarm), P(rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5|rate of change of Trust_Human==0), P(rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5|rate of change of Trust_Human>0), P(rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5|rate of change of Trust_Human<0), P(rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human==0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human>0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of Trust_Human<0|EventW_Machine!=false alarm&&EventW_Machine!= ), P(rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5|EventW_Machine== ), P(rate of change of Trust_Human==0|EventW_Machine== ), P(rate of change of Trust_Human>0|EventW_Machine== ), P(rate of change of Trust_Human<0|EventW_Machine== ), P(rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5|EventW_Machine==false alarm), P(rate of change of Trust_Human==0|EventW_Machine==false alarm), P(rate of change of Trust_Human>0|EventW_Machine==false alarm), P(rate of change of Trust_Human<0|EventW_Machine==false alarm), P(EventW_Machine== |rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5), P(EventW_Machine==false alarm|rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5), P(rate of change of Trust_Human==0|rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5), P(rate of change of Trust_Human>0|rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5), P(rate of change of Trust_Human<0|rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5), P(EventW_Machine== |rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5), P(EventW_Machine==false alarm|rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5), P(rate of change of Trust_Human==0|rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5), P(rate of change of Trust_Human>0|rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5), P(rate of change of Trust_Human<0|rate of change of CurrentWheel_Machine>=2.5||CurrentWheel_Machine<=-2.5), P(rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5|rate of change of Trust_Human<0), P(EventW_Machine== |rate of change of Trust_Human<0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human<0), P(EventW_Machine==false alarm|rate of change of Trust_Human<0), P(rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5|rate of change of Trust_Human==0), P(EventW_Machine== |rate of change of Trust_Human==0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human==0), P(EventW_Machine==false alarm|rate of change of Trust_Human==0), P(rate of change of CurrentWheel_Machine<2.5&&CurrentWheel_Machine>-2.5|rate of change of Trust_Human>0), P(EventW_Machine== |rate of change of Trust_Human>0), P(EventW_Machine!=false alarm&&EventW_Machine!= |rate of change of Trust_Human>0), P(EventW_Machine==false alarm|rate of change of Trust_Human>0)
S10,0.755,0.741,0.299,0.760,0.653,0.831,0.259,0.575,0.320,0.105,0.245,0.780,0.101,0.119,0.701,0.576,0.031,0.393,0.943,0.048,0.009,0.768,0.117,0.115,0.909,0.085,0.006,0.764,0.114,0.122,0.169,0.923,0.055,0.021,0.240,0.948,0.047,0.005,0.347,0.822,0.176,0.002
S11,0.756,0.729,0.307,0.742,0.780,0.844,0.271,0.585,0.158,0.256,0.244,0.781,0.111,0.108,0.693,0.925,0.075,0.0,0.932,0.060,0.009,0.749,0.120,0.131,0.914,0.079,0.006,0.771,0.113,0.116,0.156,0.823,0.177,0.0,0.258,0.929,0.063,0.008,0.220,0.882,0.114,0.004
S12,0.756,0.731,0.308,0.735,0.838,0.964,0.269,0.611,0.279,0.110,0.244,0.778,0.100,0.122,0.692,1.000,0.0,0.0,0.942,0.052,0.006,0.753,0.135,0.112,0.910,0.082,0.007,0.770,0.107,0.123,0.036,0.923,0.077,0.0,0.265,0.926,0.066,0.008,0.162,0.797,0.203,0.0
S13,0.756,0.719,0.482,0.765,0.604,0.693,0.281,0.787,0.103,0.110,0.244,0.766,0.116,0.117,0.518,0.434,0.071,0.495,0.927,0.060,0.013,0.704,0.119,0.176,0.916,0.079,0.005,0.789,0.113,0.098,0.307,0.896,0.067,0.038,0.235,0.920,0.075,0.005,0.396,0.929,0.065,0.006
S14,0.759,0.687,0.382,0.770,0.605,0.742,0.313,0.675,0.095,0.230,0.241,0.772,0.117,0.111,0.618,0.840,0.053,0.107,0.920,0.068,0.012,0.749,0.111,0.139,0.919,0.076,0.005,0.771,0.116,0.113,0.258,0.849,0.145,0.006,0.230,0.926,0.066,0.008,0.395,0.935,0.062,0.003
S15,0.760,0.685,0.243,0.767,0.681,0.742,0.315,0.690,0.207,0.103,0.240,0.774,0.108,0.118,0.757,0.194,0.187,0.619,0.925,0.072,0.004,0.757,0.106,0.137,0.917,0.075,0.008,0.767,0.118,0.115,0.258,0.906,0.061,0.033,0.233,0.933,0.065,0.002,0.319,0.861,0.129,0.010
S16,0.758,0.681,0.498,0.741,0.668,0.869,0.319,0.729,0.178,0.093,0.242,0.768,0.109,0.122,0.502,0.664,0.270,0.066,0.933,0.058,0.009,0.784,0.054,0.162,0.914,0.080,0.006,0.758,0.138,0.104,0.131,0.941,0.055,0.003,0.259,0.926,0.068,0.006,0.332,0.875,0.110,0.015
S17,0.755,0.742,0.320,0.742,0.799,0.779,0.258,0.491,0.247,0.262,0.245,0.790,0.103,0.107,0.680,0.932,0.0,0.068,0.936,0.054,0.009,0.839,0.077,0.084,0.912,0.082,0.006,0.737,0.130,0.134,0.221,0.819,0.178,0.004,0.258,0.940,0.052,0.008,0.201,0.825,0.175,0.0
S21,0.758,0.706,0.312,0.747,0.688,0.833,0.294,0.590,0.340,0.070,0.242,0.779,0.099,0.122,0.688,0.659,0.030,0.312,0.935,0.059,0.006,0.746,0.122,0.132,0.913,0.080,0.007,0.772,0.112,0.116,0.167,0.946,0.037,0.017,0.253,0.945,0.049,0.006,0.312,0.807,0.191,0.002
S22,0.758,0.695,0.383,0.777,0.546,0.757,0.305,0.746,0.110,0.143,0.242,0.770,0.115,0.114,0.617,0.292,0.103,0.605,0.910,0.083,0.007,0.630,0.156,0.214,0.921,0.072,0.007,0.800,0.104,0.095,0.243,0.871,0.089,0.040,0.223,0.924,0.073,0.003,0.454,0.922,0.071,0.007
S23,0.756,0.738,0.301,0.745,0.787,0.820,0.262,0.570,0.270,0.160,0.244,0.787,0.100,0.113,0.699,0.500,0.106,0.395,0.910,0.078,0.013,0.852,0.093,0.055,0.922,0.073,0.005,0.735,0.123,0.143,0.180,0.854,0.118,0.028,0.255,0.929,0.065,0.006,0.213,0.785,0.207,0.008
S24,0.758,0.692,0.482,0.744,0.775,0.756,0.308,0.590,0.082,0.328,0.242,0.779,0.117,0.105,0.518,0.640,0.174,0.186,0.937,0.047,0.016,0.807,0.109,0.084,0.913,0.083,0.004,0.750,0.117,0.133,0.244,0.803,0.187,0.010,0.256,0.942,0.053,0.005,0.225,0.941,0.049,0.010
S25,0.755,0.733,0.349,0.737,0.744,0.844,0.267,0.575,0.331,0.093,0.245,0.780,0.097,0.123,0.651,1.000,0.0,0.0,0.936,0.058,0.005,0.769,0.097,0.133,0.911,0.081,0.008,0.763,0.123,0.114,0.156,0.942,0.058,0.0,0.263,0.935,0.056,0.009,0.256,0.782,0.218,0.0
S26,0.756,0.725,0.264,0.754,0.637,0.751,0.275,0.659,0.222,0.119,0.244,0.778,0.101,0.121,0.736,0.496,0.504,0.0,0.942,0.052,0.006,0.603,0.159,0.238,0.909,0.084,0.007,0.860,0.089,0.051,0.249,0.917,0.083,0.0,0.246,0.922,0.071,0.006,0.363,0.797,0.161,0.042
S27,0.760,0.657,0.418,0.768,0.694,0.676,0.343,0.531,0.207,0.262,0.240,0.785,0.110,0.105,0.582,0.297,0.0,0.703,0.924,0.069,0.007,0.748,0.164,0.088,0.917,0.076,0.007,0.770,0.099,0.130,0.324,0.791,0.165,0.044,0.232,0.944,0.054,0.003,0.306,0.863,0.137,0.0
S6,0.753,0.770,0.326,0.748,0.729,0.785,0.230,0.614,0.314,0.073,0.247,0.775,0.103,0.123,0.674,0.781,0.047,0.172,0.920,0.065,0.015,0.810,0.101,0.089,0.918,0.078,0.004,0.745,0.121,0.133,0.215,0.952,0.037,0.010,0.252,0.943,0.050,0.007,0.271,0.829,0.168,0.003
S7,0.755,0.740,0.319,0.732,0.767,0.850,0.260,0.713,0.178,0.109,0.245,0.768,0.111,0.122,0.681,0.956,0.044,0.0,0.941,0.054,0.005,0.762,0.092,0.145,0.910,0.082,0.008,0.766,0.124,0.110,0.150,0.933,0.067,0.0,0.268,0.922,0.069,0.009,0.233,0.883,0.114,0.003
S8,0.753,0.760,0.347,0.737,0.712,0.893,0.240,0.480,0.336,0.184,0.247,0.788,0.097,0.115,0.653,0.947,0.0,0.053,0.941,0.051,0.008,0.791,0.117,0.092,0.909,0.084,0.007,0.754,0.114,0.132,0.107,0.885,0.112,0.003,0.263,0.946,0.046,0.009,0.288,0.785,0.215,0.0
S9,0.756,0.711,0.503,0.752,0.698,0.793,0.289,0.556,0.160,0.284,0.244,0.782,0.113,0.106,0.497,0.500,0.0,0.500,0.919,0.068,0.013,0.751,0.125,0.125,0.919,0.076,0.005,0.769,0.112,0.119,0.207,0.809,0.165,0.026,0.248,0.945,0.051,0.004,0.302,0.903,0.097,0.0
