TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.89,3.63,879.77906988, ,0, ,,0,0,0,4.15,0,0
1,3, ,autonomous,0,1,0,-6.233463035,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,4.08,3.97,884.7460752222, ,0, ,,0,0.265,0,4.15,0,0
2,3, ,autonomous,0,1,0,-6.233463035,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,4.36,4.34,892.302640502, ,0, ,,0,0.325,0,4.15,0,0
3,3, ,autonomous,0,1,0,-6.233463035,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,4.08,4.11,901.8391385921, ,0, ,,0,-0.255,0,4.15,0,0
4,3, ,autonomous,0,1,0,-6.2252231632,1,0,-1.3519038038,20,0,20,-1.3519038038,1,4.9220544556,4.31,4.31,911.5816817296, ,0, ,,0,0.215,0,4.15,0,0
5,3, ,autonomous,0,1,0,-6.2252231632,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,4.22,4.38,900.7283830142, ,0, ,,0,-0.01,0,4.15,0,0
6,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,4.31,4.25,879.77906988, ,0, ,,0,-0.02,0,4.15,0,0
7,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,4.23,4.14,878.7219586642, ,0, ,,0,-0.095,0,4.15,0,0
8,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,5,4.1,871.0467543056, ,0, ,,0,0.365,0,4.15,0,0
9,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,4.26,4.2,867.6021731699, ,0, ,,0,-0.32,0,4.15,0,0
10,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,4.4,4.31,866.9165235676, ,0, ,,0,0.125,0,4.15,0,0
11,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.1374247702,20,0,20,-0.1374247702,1,8.5650975545,5,5,866.2319568215, ,0, ,,0,0.645,0,4.15,0,0
12,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,4.11,3.94,863.8444637677, ,0, ,,0,-0.975,0,4.15,0,0
13,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0635510384,20,0,20,-0.0635510384,1,9.1971246284,4.25,4.12,871.3927173528, ,0, ,,0,0.16,0,4.15,0,0
14,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,5,4.41,881.1925143048, ,0, ,,0,0.52,0,4.15,0,0
15,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0213437161,20,0,20,-0.0213437161,1,10.0182550428,4.73,4.44,899.620360208, ,0, ,,0,-0.12,0,4.15,0,0
16,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0206823721,20,0,20,-0.0206823721,1,10.3108668157,4.38,4.25,899.2516248128, ,0, ,,0,-0.27,0,4.15,0,0
17,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0073685071,20,0,20,-0.0073685071,1,10.5739091609,3.84,4.04,894.8502620211, ,0, ,,0,-0.375,0,4.15,0,0
18,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0082435262,20,0,20,-0.0082435262,1,10.8097219419,4.1,4.03,894.1208869322, ,0, ,,0,0.125,0,4.15,0,0
19,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0070854636,20,0,20,-0.0070854636,1,11.0239140802,5,3.23,895.215395986, ,0, ,,0,0.05,0,4.15,0,0
20,3, ,autonomous,0,1,0,-6.2252231632,1,0,0.000956535,20,0,20,0.000956535,1,11.2316557686,4.08,4.01,892.6656979459, ,0, ,,0,-0.07,0,4.15,0,0
21,3, ,autonomous,0,1,0,-6.2252231632,1,0,0.0014617268,20,0,20,0.0014617268,1,11.4374756587,5,4.39,892.302640502, ,0, ,,0,0.65,0,4.15,0,0
22,3, ,autonomous,0,1,0,-6.2252231632,1,0,0.000784089,20,0,20,0.000784089,1,11.6416117127,4.59,4.54,901.0983307334, ,0, ,,0,-0.13,0,4.15,0,0
23,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0043090361,20,0,20,-0.0043090361,1,11.8446842093,4.44,4.34,891.2152379268, ,0, ,,0,-0.175,0,4.15,0,0
24,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0017874284,20,0,20,-0.0017874284,1,12.0466863685,4.21,4.11,857.0950067531, ,0, ,,0,-0.23,0,4.15,0,0
25,3, ,autonomous,0,1,0,-6.2252231632,1,0,0.0060314047,20,0,20,0.0060314047,1,12.2476024625,4.07,4.1,864.52526065, ,0, ,,0,-0.075,0,4.15,0,0
26,3, ,autonomous,0,1,0,-6.2252231632,1,0,0.0033371552,20,0,20,0.0033371552,1,12.4474171339,4.25,4.22,866.5741049979, ,0, ,,0,0.15,0,4.15,0,0
27,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0001447546,20,0,20,-0.0001447546,1,12.6461154691,4.17,4.15,842.2876938062, ,0, ,,0,-0.075,0,4.15,0,0
28,3, ,autonomous,0,1,0,-6.2252231632,1,0,-0.0005960473,20,0,20,-0.0005960473,1,12.873518519,5,5,818.7139673749, ,0, ,,0,0.84,0,4.15,0,0
29,3, ,autonomous,0,1,0,-6.2252231632,1,0,0.0017746464,20,0,20,0.0017746464,1,13.2096546434,4.26,4.07,814.156686734, ,0, ,,0,-0.835,0,4.15,0,0
30,3, ,autonomous,0,1,0,-6.2252231632,1,0,0.0092957236,20,0,20,0.0092957236,1,13.4434561593,5,5,818.1033843792, ,0, ,,0,0.835,0,4.15,0,0
31,3, ,autonomous,0,1,0,-6.2252231632,1,0,107.9451255895,20,0,20,107.9451255895,1,13.640535639,4.32,4.21,793.5432244581, ,0, ,,0,-0.735,0,4.15,0,0
32,3, ,autonomous,0,1,0,-6.2252231632,1,0,15.1436635265,20,0,20,15.1436635265,1,13.8353289971,4.44,4.35,786.7139744003, ,0, ,,0,0.13,0,4.15,0,0
33,3, ,autonomous,0,1,0,-6.2252231632,1,0,21.8694430578,20,0,20,21.8694430578,1,14.0199493114,4.45,4.42,782.784257144, ,0, ,,0,0.04,0,4.15,0,0
34,3, ,autonomous,0,1,0,-6.2252231632,1,0,2.4841926613,20,0,20,2.4841926613,1,14.2024468122,5,4.24,785.8685741688, ,0, ,,0,0.185,0,4.15,0,0
35,3, ,autonomous,0,1,0,-6.2252231632,1,0,7.6148911093,20,0,20,7.6148911093,1,14.3664435526,5,5,771.7697730503, ,0, ,,0,0.38,0,4.15,0,0
36,3, ,autonomous,0,1,0,-6.2252231632,1,0,16.321091065,20,0,20,16.321091065,1,14.5137146183,4.28,4.29,758.4300255773, ,0, ,,0,-0.715,0,4.15,0,0
37,3, ,autonomous,0,1,0,-6.2252231632,1,0,42.210153171,20,0,20,43.7396900994,1,14.6609283483,4.44,4.36,761.8537975136,cyclist detected,28.7043857574,cyclist detected,cyclist detected,26.1210231781,0.115,0,4.15,0,0
38,3, ,autonomous,0,1,0,-6.2252231632,1,0,3.7851142032,20,0,20,3.7851142032,1,14.8017993561,4.26,4.18,769.8740285922, ,0,cyclist detected,,11.1310529709,-0.18,0,4.15,0,0
39,3, ,autonomous,0,1,0,-6.2252231632,1,0,-22.6582789421,20,0,20,-22.6582789421,1,14.9433564616,4.43,4.39,776.4128267747, ,0, ,,0,0.19,0,4.15,0,0
40,3, ,autonomous,0,1,0,-6.2252231632,1,0,-104.001347944,20,0,20,-104.001347944,1,15.0656843179,5,4.81,786.1501722927, ,0, ,,0,0.495,0,4.15,0,0
41,4, ,autonomous,0,1,0,-5.7390707256,1,0,-76.3304643714,20,0,20,-76.3304643714,1,15.1939479999,5,4.37,797.0025054571, ,0, ,,0,-0.22,0,4.15,1,0
42,4, ,autonomous,0,1,0,-5.7390707256,1,0,-38.3661893527,20,0,20,-38.3661893527,1,15.3040009383,4.43,4.44,806.9696353466, ,0, ,,0,-0.25,0,4.15,0,0
43,4, ,autonomous,0,1,0,-5.7390707256,1,0,-30.658434845,20,0,20,-30.658434845,1,15.4140583904,4.39,4.36,810.2478856176, ,0, ,,0,-0.06,0,4.15,0,0
44,4, ,autonomous,0,1,0,-5.7390707256,1,0,-19.001266262,20,0,20,-19.001266262,1,15.523240173,5,4.24,812.9499678072, ,0, ,,0,0.245,0,4.15,0,0
45,4, ,autonomous,0,1,0,-5.7390707256,1,0,-15.0635929565,20,0,20,-15.0635929565,1,15.6165686067,4.29,4.13,799.908362498, ,0, ,,0,-0.41,0,4.15,0,0
46,4, ,autonomous,0,1,0,-5.7390707256,1,0,-19.2767499036,15,0,15,-19.2767499036,1,15.6786474902,4.17,4.06,783.0636488229, ,0, ,,0,-0.095,0,4.15,0,0
47,4, ,autonomous,0,1,0,-5.7390707256,1,0,-12.9099337398,20,0,20,-12.9099337398,1,15.635232094,4.18,3.98,781.9472770485, ,0, ,,0,-0.035,0,4.15,0,0
48,4, ,autonomous,0,1,0,-5.7390707256,1,0,-6.4671809658,15,0,15,-6.4671809658,1,15.6724562669,4.05,3.81,789.2611237279, ,0, ,,0,-0.15,0,4.15,0,0
49,4, ,autonomous,0,1,0,-5.7390707256,1,0,-7.0361459677,20,0,20,-7.0361459677,1,15.6344111415,3.99,3.83,798.7434806557, ,0, ,,0,-0.02,0,4.15,0,0
50,4, ,autonomous,0,1,0,-5.7390707256,1,0,-6.7945400479,15,0,15,-6.7945400479,1,15.6710657704,5,5,806.0801659622, ,0, ,,0,1.09,0,4.15,0,0
51,4, ,autonomous,0,1,0,-5.7390707256,1,0,-2.4598031377,20,0,20,-2.4598031377,1,15.6367081766,4.05,3.86,814.156686734, ,0, ,,0,-1.045,0,4.15,0,0
52,4, ,autonomous,0,1,0,-5.7390707256,1,0,-0.9854104421,15,0,15,-0.9854104421,1,15.6683798781,3.95,3.88,811.7468207124, ,0, ,,0,-0.04,0,4.15,0,0
53,4, ,autonomous,0,1,0,-5.7390707256,1,0,2.5814956824,20,0,20,2.5814956824,1,15.641378658,3.98,3.99,802.541810422, ,0, ,,0,0.07,0,4.15,0,0
54,4, ,autonomous,0,1,0,-5.7390707256,1,0,8.9833134734,15,0,15,8.9833134734,1,15.6647816213,4.2,3.96,781.9472770485, ,0, ,,0,0.095,0,4.15,0,0
55,4, ,autonomous,0,1,0,-5.7390707256,1,0,27.8437742315,15,0,15,27.8437742315,1,15.6513011505,4.07,3.97,779.447041562, ,0, ,,0,-0.06,0,4.15,0,0
56,4, ,autonomous,0,1,0,-5.7390707256,1,0,69.9219797669,15,0,15,69.9219797669,1,15.6606572463,4.1,3.93,782.784257144, ,0, ,,0,-0.005,0,4.15,0,0
57,4, ,autonomous,0,1,0,-5.7390707256,1,0,28.9629535385,15,0,15,28.9629535385,1,15.6553096199,4.16,3.96,784.7441961496, ,0, ,,0,0.045,0,4.15,0,0
58,4, ,autonomous,0,1,0,-5.7390707256,1,0,12.8233722724,15,0,15,12.8233722724,1,15.6559884073,4.23,4.04,786.1501722927, ,0, ,,0,0.075,0,4.15,0,0
59,4, ,autonomous,0,1,0,-5.7390707256,1,0,-44.0527132579,15,0,15,-44.0527132579,1,15.6662170137,4.2,4.1,790.6833465008,obstacle detected,35.9617881775,obstacle detected,obstacle detected,32.0198326111,0.015,0,4.15,0,0
60,4, ,autonomous,0,1,0,-5.7390707256,1,0,19.8083585501,15,0,15,19.8083585501,1,15.6511562527,4.39,4.22,790.9684063489, ,0,obstacle detected,,17.4348621368,0.155,0,4.15,0,0
61,4, ,autonomous,0,1,0,-5.7390707256,1,0,-10.1298406359,15,0,15,-10.1298406359,1,15.6692127947,4.27,4.19,782.784257144, ,0,obstacle detected,,4.2305493355,-0.075,0,4.15,0,0
62,4, ,autonomous,0,1,0,-5.7390707256,1,0,21.7174976254,20,0,20,21.7174976254,1,15.6461828144,4.34,4.24,781.6686812874, ,0, ,,0,0.06,0,4.15,0,0
63,4, ,autonomous,0,1,0,-5.7390707256,1,0,14.2414523622,15,0,15,14.2414523622,1,15.6728962517,4.19,4.05,782.2260714698, ,0, ,,0,-0.17,0,4.15,0,0
64,4, ,autonomous,0,1,0,-5.7390707256,1,0,23.6264340355,20,0,20,23.6264340355,1,15.6411889727,4.06,3.88,780.834083845, ,0, ,,0,-0.15,0,4.15,0,0
65,4, ,autonomous,0,1,0,-5.7390707256,1,0,21.4061188018,15,0,15,21.4061188018,1,15.6745226831,5,5,783.0636488229, ,0, ,,0,1.03,0,4.15,0,0
66,4, ,autonomous,0,1,0,-5.7390707256,1,0,29.9902363912,20,0,20,29.9902363912,1,15.6362697282,4.05,3.84,784.1832128018, ,0, ,,0,-1.055,0,4.15,0,0
