TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.96,3.84,1222.4269379868, ,0, ,,0,0,0,3,0
1,3, ,autonomous,0,1,0,0.2238498512,1,0,23.5438298927,20,0,20,23.5438298927,1,1.1007340989,4.46,4.44,1222.4269379868, ,0, ,,0,0.55,0,3,0
2,3, ,autonomous,0,1,0,0.2238498512,1,0,3.8616844271,20,0,20,3.8616844271,1,3.0641687314,4.46,4.49,1221.7462027517, ,0, ,,0,0.025,0,3,0
3,3, ,autonomous,0,1,0,0.2238498512,1,0,-3.6449721574,20,0,20,-3.6449721574,1,4.2726210159,3.91,3.9,1223.1084322318, ,0, ,,0,-0.57,0,3,0
4,3, ,autonomous,0,1,0,0.2238498512,1,0,-3.4023997903,20,0,20,-3.4023997903,1,4.9220593938,3.82,3.73,1224.4737028354, ,0, ,,0,-0.13,0,3,0
5,3, ,autonomous,0,1,0,0.2238498512,1,0,-2.7037822767,20,0,20,-2.7037822767,1,5.5678570186,4.3,4.02,1225.1574817427, ,0, ,,0,0.385,0,3,0
6,3, ,autonomous,0,1,0,0.2238498512,1,0,-2.1035843389,20,0,20,-2.1035843389,1,6.3703063311,4.07,4.04,1227.9002512775, ,0, ,,0,-0.105,0,3,0
7,3, ,autonomous,0,1,0,0.2238498512,1,0,-1.5254362548,20,0,20,-1.5254362548,1,7.0058876829,4.36,4.19,1229.2762464001, ,0, ,,0,0.22,0,3,0
8,3, ,autonomous,0,1,0,0.2238498512,1,0,-1.0910887189,20,0,20,-1.0910887189,1,7.4926856856,3.88,3.72,1231.3460311378, ,0, ,,0,-0.475,0,3,0
9,3, ,autonomous,0,1,0,0.2238498512,1,0,-0.7657202547,20,0,20,-0.7657202547,1,7.8946528287,3.82,3.81,1233.4227976003, ,0, ,,0,0.015,0,3,0
