TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,4.3,4.14,127.252366894024, ,0.0, ,0.0,0.0,0,3.0695652173913044,0.0
1.0,3.0, ,autonomous,0.0,1.0,0.0,2.033875028610652,1.0,0.0,23.543829892723853,20.0,0.0,20.0,23.543829892723853,1.0,1.1007340988683576,4.18,4.01,131.96790540540502, ,0.0, ,0.0,-0.125,0,3.0695652173913044,0.0
2.0,3.0, ,autonomous,0.0,1.0,0.0,2.033875028610652,1.0,0.0,3.861684427052872,20.0,0.0,20.0,3.861684427052872,1.0,3.064168731394417,5.0,5.0,133.010561038546, ,0.0, ,0.0,0.9050000000000002,0,3.0695652173913044,0.0
3.0,3.0, ,autonomous,0.0,1.0,0.0,2.033875028610652,1.0,0.0,-3.6449721574089047,20.0,0.0,20.0,-3.6449721574089047,1.0,4.272621015925022,4.17,4.18,126.903553299492, ,0.0, ,0.0,-0.8250000000000002,0,3.0695652173913044,0.0
4.0,3.0, ,autonomous,0.0,1.0,0.0,2.033875028610652,1.0,0.0,-3.402399790261448,20.0,0.0,20.0,-3.402399790261448,1.0,4.922059393844501,4.05,3.88,119.918455450294, ,0.0, ,0.0,-0.20999999999999996,0,3.0695652173913044,0.0
5.0,3.0, ,autonomous,0.0,1.0,0.0,2.033875028610652,1.0,0.0,-2.7037822767463204,20.0,0.0,20.0,-2.7037822767463204,1.0,5.567857018589153,3.59,5.0,116.449682092368, ,0.0, ,0.0,0.33000000000000007,0,3.0695652173913044,0.0
6.0,3.0, ,autonomous,0.0,1.0,0.0,2.033875028610652,1.0,0.0,-2.0741682251097937,20.0,0.0,20.0,-2.0741682251097937,1.0,6.404065320076152,4.12,5.0,117.40947729300699, ,0.0, ,0.0,0.26500000000000057,0,3.0695652173913044,0.0
7.0,3.0, ,autonomous,0.0,1.0,0.0,2.061341268024705,1.0,0.0,-1.554881183604511,20.0,0.0,20.0,-1.554881183604511,1.0,6.978890894500173,4.55,4.58,120.38619892615499, ,0.0, ,0.0,0.004999999999999005,0,3.0695652173913044,0.0
8.0,3.0, ,autonomous,0.0,1.0,0.0,2.053101396200504,1.0,0.0,-1.091088718918484,20.0,0.0,20.0,-1.091088718918484,1.0,7.492685685598402,4.28,4.32,112.62529564140101, ,0.0, ,0.0,-0.2649999999999988,0,3.0695652173913044,0.0
9.0,3.0, ,autonomous,0.0,1.0,0.0,2.1684596017395283,1.0,0.0,-0.7657202546660544,20.0,0.0,20.0,-0.7657202546660544,1.0,7.894652828728014,3.12,3.58,113.45329127998001, ,0.0, ,0.0,-0.9500000000000006,0,3.0695652173913044,0.0
10.0,3.0, ,autonomous,0.0,1.0,0.0,2.1684596017395283,1.0,0.0,-0.531019054382476,20.0,0.0,20.0,-0.531019054382476,1.0,8.215622683794987,3.8,3.52,112.968820605513, ,0.0, ,0.0,0.31000000000000005,0,3.0695652173913044,0.0
11.0,3.0, ,autonomous,0.0,1.0,0.0,2.8441290913252573,1.0,0.0,-0.34685062746092754,20.0,0.0,20.0,-0.34685062746092754,1.0,8.549255427805669,4.2,4.16,112.079980273923, ,0.0, ,0.0,0.5199999999999996,0,3.0695652173913044,0.0
12.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.23247932418411502,20.0,0.0,20.0,-0.23247932418411502,1.0,8.865720237037937,5.0,3.92,110.673336579751, ,0.0, ,0.0,0.28000000000000025,0,3.0695652173913044,0.0
13.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.14951627966324166,20.0,0.0,20.0,-0.14951627966324166,1.0,9.181364887869584,5.0,4.25,110.277900308778, ,0.0, ,0.0,0.16500000000000004,0,3.0695652173913044,0.0
14.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.09795671559057506,20.0,0.0,20.0,-0.09795671559057506,1.0,9.690615840920524,3.69,3.7,111.674446653117, ,0.0, ,0.0,-0.9299999999999997,0,3.0695652173913044,0.0
15.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.061094197278255276,20.0,0.0,20.0,-0.061094197278255276,1.0,10.018255043772061,3.91,3.77,114.082321803413, ,0.0, ,0.0,0.14499999999999957,0,3.0695652173913044,0.0
16.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.03201069835388104,20.0,0.0,20.0,-0.03201069835388104,1.0,10.310866816017237,3.5,3.57,114.22305478137699, ,0.0, ,0.0,-0.3049999999999997,0,3.0695652173913044,0.0
17.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.02024267253286929,20.0,0.0,20.0,-0.02024267253286929,1.0,10.573909161016552,3.81,3.79,116.890707188778, ,0.0, ,0.0,0.2649999999999997,0,3.0695652173913044,0.0
18.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.018202233292412426,20.0,0.0,20.0,-0.018202233292412426,1.0,10.809721941913418,4.2,3.9,117.335085537277, ,0.0, ,0.0,0.25,0,3.0695652173913044,0.0
19.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.011599680486617579,20.0,0.0,20.0,-0.011599680486617579,1.0,11.013467711600887,4.4,4.24,110.87212009668, ,0.0, ,0.0,0.27000000000000046,0,3.0695652173913044,0.0
20.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.0102416420799988,20.0,0.0,20.0,-0.0102416420799988,1.0,11.231655768657793,4.34,4.04,113.52284079556802, ,0.0, ,0.0,-0.13000000000000078,0,3.0695652173913044,0.0
21.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,0.0023494414069072343,20.0,0.0,20.0,0.0023494414069072343,1.0,11.43747565871491,3.83,3.92,116.743328118798, ,0.0, ,0.0,-0.3149999999999995,0,3.0695652173913044,0.0
22.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,-0.004830554527113017,20.0,0.0,20.0,-0.004830554527113017,1.0,11.631430266353544,3.63,3.81,118.46095526914301, ,0.0, ,0.0,-0.15500000000000025,0,3.0695652173913044,0.0
23.0,3.0, ,autonomous,0.0,1.0,0.0,2.772716868848704,1.0,0.0,0.00176330952839978,20.0,0.0,20.0,0.00176330952839978,1.0,11.844684209271414,5.0,3.99,119.99616012287599, ,0.0, ,0.0,0.7750000000000004,0,3.0695652173913044,0.0
24.0,3.0, ,autonomous,0.0,1.0,0.0,2.7534905012588524,1.0,0.0,0.0033099474636255387,20.0,0.0,20.0,0.0033099474636255387,1.0,12.036611925090485,5.0,5.0,121.015562601351, ,0.0, ,0.0,0.5049999999999999,0,3.0695652173913044,0.0
25.0,3.0, ,autonomous,0.0,1.0,0.0,2.7534905012588524,1.0,0.0,0.0011239772062798805,20.0,0.0,20.0,0.0011239772062798805,1.0,12.247602462482055,2.48,5.0,121.972044007513, ,0.0, ,0.0,-1.2599999999999998,0,3.0695652173913044,0.0
26.0,3.0, ,autonomous,0.0,1.0,0.0,2.7534905012588524,1.0,0.0,-0.002153575517604233,20.0,0.0,20.0,-0.002153575517604233,1.0,12.447417133900382,5.0,3.8,122.862197758994, ,0.0, ,0.0,0.6600000000000001,0,3.0695652173913044,0.0
27.0,3.0, ,autonomous,0.0,1.0,0.0,2.7534905012588524,1.0,0.0,0.0005260388231565178,20.0,0.0,20.0,0.0005260388231565178,1.0,12.646115469095344,5.0,3.68,123.931094311563, ,0.0, ,0.0,-0.0600000000000005,0,3.0695652173913044,0.0
28.0,3.0, ,autonomous,0.0,1.0,0.0,2.223392080567635,1.0,0.0,0.00011920946008103785,20.0,0.0,20.0,0.00011920946008103785,1.0,12.849716298350293,5.0,3.88,124.514393863931, ,0.0, ,0.0,0.09999999999999964,0,3.0695652173913044,0.0
29.0,3.0, ,autonomous,0.0,1.0,0.0,2.1684596017395283,1.0,0.0,-0.008546434480559357,20.0,0.0,20.0,-0.008546434480559357,1.0,13.209654643368332,5.0,3.87,124.850179784259, ,0.0, ,0.0,-0.004999999999999005,0,3.0695652173913044,0.0
30.0,3.0, ,autonomous,0.0,1.0,0.0,2.1684596017395283,1.0,0.0,-0.005052177499359385,20.0,0.0,20.0,-0.005052177499359385,1.0,13.432744966702256,5.0,5.0,124.6820607451, ,0.0, ,0.0,0.5649999999999995,0,3.0695652173913044,0.0
31.0,3.0, ,autonomous,0.0,1.0,0.0,1.330739299610883,1.0,0.0,62.55289131065681,20.0,0.0,20.0,62.55289131065681,1.0,13.640386580363105,3.83,3.67,125.357268214411, ,0.0, ,0.0,-1.25,0,3.0695652173913044,0.0
32.0,3.0, ,autonomous,0.0,1.0,0.0,1.3417257953765045,1.0,0.0,17.025238537243773,20.0,0.0,20.0,17.025238537243773,1.0,13.83536914292155,4.12,4.08,122.132929480447, ,0.0, ,0.0,0.34999999999999964,0,3.0695652173913044,0.0
33.0,3.0, ,autonomous,0.0,1.0,0.0,1.3582055390249366,1.0,0.0,27.143118279098086,20.0,0.0,20.0,27.143118279098086,1.0,14.019989574256527,4.36,4.21,121.173933063519, ,0.0, ,0.0,0.1850000000000005,0,3.0695652173913044,0.0
34.0,3.0, ,autonomous,0.0,1.0,0.0,1.3774319066147882,1.0,0.0,17.508860684579915,20.0,0.0,20.0,17.508860684579915,1.0,14.194068681745492,5.0,3.95,118.083272323643, ,0.0, ,0.0,0.1899999999999995,0,3.0695652173913044,0.0
35.0,3.0, ,autonomous,0.0,1.0,0.0,1.4927901121538127,1.0,0.0,21.319126417215127,20.0,0.0,20.0,21.319126417215127,1.0,14.35849311203359,3.92,3.64,117.633219621221, ,0.0, ,0.0,-0.6949999999999994,0,3.0695652173913044,0.0
36.0,3.0, ,autonomous,0.0,1.0,0.0,1.4845502403295825,1.0,0.0,15.453226076902665,20.0,0.0,20.0,15.453226076902665,1.0,14.513708076085384,5.0,5.0,120.542925335712, ,0.0, ,0.0,1.2199999999999998,0,3.0695652173913044,0.0
37.0,3.0, ,autonomous,0.0,1.0,0.0,0.9901579308766202,1.0,0.0,10.201571996264068,20.0,0.0,20.0,10.201571996264068,1.0,14.660881525159528,3.46,3.44,122.37505506877501, ,0.0, ,0.0,-1.5499999999999998,0,3.0695652173913044,0.0
38.0,3.0, ,autonomous,0.0,1.0,0.0,3.753261615930427,1.0,0.0,11.710000059216414,20.0,0.0,20.0,11.710000059216414,1.0,14.801802000747681,5.0,5.0,123.107226394189, ,0.0, ,0.0,1.5499999999999998,0,3.0695652173913044,0.0
39.0,3.0, ,autonomous,0.0,1.0,0.0,5.92309452964065,1.0,0.0,14.573201500220584,20.0,0.0,20.0,14.573201500220584,1.0,14.936820422932676,5.0,5.0,122.05243372552799, ,0.0, ,0.0,0.0,0,3.0695652173913044,0.0
40.0,3.0, ,autonomous,0.0,1.0,0.0,6.911879148546575,1.0,0.0,-33.28915633733449,20.0,0.0,20.0,-33.28915633733449,1.0,15.065370198781535,3.97,3.86,122.455977076241, ,0.0, ,0.0,-1.085,0,3.0695652173913044,0.0
41.0,3.0, ,autonomous,0.0,1.0,0.0,6.8926527809567375,1.0,0.0,-49.53492238473365,20.0,0.0,20.0,-49.53492238473365,1.0,15.18787239802898,5.0,3.68,118.53678196344299, ,0.0,cyclist detected,37.53999328613281,0.4249999999999998,0,3.0695652173913044,0.0
42.0,3.0, ,autonomous,0.0,1.0,0.0,4.09384298466469,1.0,0.0,-32.201356858835844,20.0,0.0,20.0,-32.201356858835844,1.0,15.303970560656804,4.53,4.07,119.918455450294, ,0.0,cyclist detected,26.95038414001465,-0.03999999999999915,0,3.0695652173913044,0.0
43.0,2.0, ,autonomous,0.0,1.0,0.0,1.1329823758296982,1.0,0.0,-33.34896181476168,20.0,0.0,20.0,-33.34896181476168,1.0,15.414058543848018,4.33,4.29,123.025441661336, ,0.0,cyclist detected,15.82917594909668,0.009999999999999787,0,3.0695652173913044,-1.0
44.0,2.0, ,autonomous,0.0,1.0,19.259937438010226,-19.886930647745476,1.0,0.0,30.741562162126808,20.0,0.0,20.0,30.741562162126808,1.0,15.518173530689804,4.88,4.83,123.107226394189, ,0.0,cyclist detected,4.812116622924805,0.5449999999999999,0,3.0695652173913044,0.0
45.0,2.0, ,autonomous,0.0,1.0,18.269626916914632,16.873884184023808,1.0,0.0,-154.78390891563606,20.0,0.0,20.0,-154.78390891563606,1.0,15.616617037192235,4.58,4.52,114.860674002435, ,0.0, ,0.0,-0.3050000000000006,0,3.0695652173913044,0.0
46.0,2.0, ,autonomous,0.0,1.0,19.836728465705352,6.793774319066144,1.0,0.0,-16.4391333060899,15.0,0.0,15.0,-16.4391333060899,1.0,15.679685641736196,5.0,5.0,111.338736973368, ,0.0, ,0.0,0.4500000000000002,0,3.0695652173913044,0.0
47.0,2.0, ,autonomous,0.0,1.0,20.0854505226215,6.804760814831767,1.0,0.0,5.927947140254968,20.0,0.0,20.0,5.927947140254968,1.0,15.635231739143295,4.12,3.87,112.215813452432, ,0.0, ,0.0,-1.005,0,3.0695652173913044,0.0
48.0,2.0, ,autonomous,0.0,1.0,19.754329747463192,7.658960860608829,1.0,0.0,1.5261901983276251,15.0,0.0,15.0,1.5261901983276251,1.0,15.67275237031468,5.0,5.0,116.66977786074301, ,0.0, ,0.0,1.005,0,3.0695652173913044,0.0
49.0,2.0, ,autonomous,0.0,1.0,19.259937438010226,5.274891279468989,1.0,0.0,-6.0369554122045574,20.0,0.0,20.0,-6.0369554122045574,1.0,15.634412351239188,5.0,3.85,119.14690813773399, ,0.0, ,0.0,-0.5750000000000002,0,3.0695652173913044,0.0
50.0,2.0, ,autonomous,0.0,1.0,18.434424353398953,5.994506752117188,1.0,0.0,-5.618976417121874,15.0,0.0,15.0,-5.618976417121874,1.0,15.671066048190859,3.81,5.0,120.151871966165, ,0.0, ,0.0,-0.019999999999999574,0,3.0695652173913044,0.0
51.0,2.0, ,autonomous,0.0,1.0,19.48577096208133,5.3463035019455285,1.0,0.0,-3.084754373760748,20.0,0.0,20.0,-3.084754373760748,1.0,15.636707977514465,5.0,3.59,121.253273838394, ,0.0, ,0.0,-0.11000000000000032,0,3.0695652173913044,0.0
52.0,2.0, ,autonomous,0.0,1.0,0.0,5.129320210574504,1.0,0.0,-1.155547501800536,15.0,0.0,15.0,-1.155547501800536,1.0,15.668379863853223,3.74,4.35,122.537006175865, ,0.0, ,0.0,-0.25,0,3.0695652173913044,0.0
53.0,2.0, ,autonomous,0.0,1.0,0.0,2.088807507438758,1.0,0.0,3.0733461428466113,20.0,0.0,20.0,3.0733461428466113,1.0,15.641378612952563,3.99,3.74,121.81158184520201, ,0.0, ,0.0,-0.17999999999999972,0,3.0695652173913044,0.0
54.0,2.0, ,autonomous,0.0,1.0,0.0,-0.14145113298238246,1.0,0.0,10.330628893326748,15.0,0.0,15.0,10.330628893326748,1.0,15.664781123378596,5.0,5.0,120.073965562787, ,0.0, ,0.0,1.1349999999999998,0,3.0695652173913044,0.0
55.0,2.0, ,autonomous,0.0,1.0,0.0,-0.1689173723964359,1.0,0.0,28.72278965279336,15.0,0.0,15.0,28.72278965279336,1.0,15.647755359927695,5.0,4.09,122.37505506877501, ,0.0, ,0.0,-0.45500000000000007,0,3.0695652173913044,0.0
56.0,2.0, ,autonomous,0.0,1.0,0.0,-0.03433279926755972,1.0,0.0,54.10195810928053,15.0,0.0,15.0,54.10195810928053,1.0,15.660618905450887,5.0,5.0,123.765439738607, ,0.0, ,0.0,0.45500000000000007,0,3.0695652173913044,0.0
57.0,2.0, ,autonomous,0.0,1.0,2.5864042114900485,2.5392538338292354,1.0,0.0,27.868485800408827,15.0,0.0,15.0,27.868485800408827,1.0,15.655302628304465,4.25,3.7,124.850179784259, ,0.0, ,0.0,-1.025,0,3.0695652173913044,0.0
58.0,2.0, ,autonomous,0.0,1.0,0.6881818875410062,2.5392538338292354,1.0,0.0,13.157603196560451,15.0,0.0,15.0,13.157603196560451,1.0,15.658410894364314,5.0,4.02,125.782999169832, ,0.0, ,0.0,0.5349999999999997,0,3.0695652173913044,0.0
59.0,2.0, ,autonomous,0.0,1.0,3.9291981383993284,2.5557335774776675,1.0,0.0,9.507626095907238,15.0,0.0,15.0,9.507626095907238,1.0,15.66288186054994,3.87,4.01,126.211631663974, ,0.0, ,0.0,-0.5699999999999998,0,3.0695652173913044,0.0
60.0,2.0, ,autonomous,0.0,1.0,3.3295185778591616,1.5751888303959731,1.0,0.0,7.69565995911309,15.0,0.0,15.0,7.69565995911309,1.0,15.653668549251812,4.31,4.07,125.697621800996, ,0.0, ,0.0,0.24999999999999956,0,3.0695652173913044,0.0
61.0,2.0, ,autonomous,0.0,1.0,9.935149156939033,1.5916685740444052,1.0,0.0,13.750500866856925,15.0,0.0,15.0,13.750500866856925,1.0,15.669041755101798,4.1,4.17,125.95410232511298, ,0.0, ,0.0,-0.054999999999999716,0,3.0695652173913044,0.0
62.0,2.0, ,autonomous,0.0,1.0,0.0,1.6026550698100266,1.0,0.0,20.69921651482375,20.0,0.0,20.0,20.69921651482375,1.0,15.646178497278964,5.0,4.72,125.95410232511298, ,0.0, ,0.0,0.7249999999999996,0,3.0695652173913044,0.0
