TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.41,3.21,243.2675700002, ,0, ,,0,0,0.8,3,0,0
1,3, ,autonomous,0,1,0,0.1002517739,1,0,-10.7340295847,20,0,20,-10.7340295847,1,0.8212723369,5,5,245.6881725714, ,0, ,,0,1.69,0.8,3,0,0
2,3, ,autonomous,0,1,0,0.1002517739,1,0,-4.655659314,20,0,20,-4.655659314,1,2.8991023461,3.78,3.58,247.7884877469, ,0, ,,0,-1.32,0.8,3,0,0
3,3, ,autonomous,0,1,0,0.1002517739,1,0,-1.3147352181,20,0,20,-1.3147352181,1,4.2726166889,3.53,3.37,249.5508085446, ,0, ,,0,-0.23,0.8,3,0,0
4,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.9262202598,20,0,20,-0.9262202598,1,4.9220539378,3.54,3.32,251.1490067057, ,0, ,,0,-0.02,0.8,3,0,0
5,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.7359402897,20,0,20,-0.7359402897,1,5.5678535433,3.48,3.31,252.6720064684, ,0, ,,0,-0.035,0.8,3,0,0
6,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.5620410412,20,0,20,-0.5620410412,1,6.4040631655,3.44,3.35,254.3105640608, ,0, ,,0,0,0.8,3,0,0
7,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.4155397219,20,0,20,-0.4155397219,1,7.005886515,3.97,3.71,256.3642423155, ,0, ,,0,0.445,0.8,3,0,0
8,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.2989820169,20,0,20,-0.2989820169,1,7.4926850985,5,5,259.4572155052, ,0, ,,0,1.16,0.8,3,0,0
9,3, ,autonomous,0,1,0,0.1002517739,1,0,-0.204813878,20,0,20,-0.204813878,1,7.8946525492,3.64,3.51,261.3900724051, ,0, ,,0,-1.425,0.8,3,0,0
