TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,3.91,3.88,165.749519326394, ,0.0, ,0.0,0.0,0,3.0,0.0
1.0,3.0, ,autonomous,0.0,1.0,0.0,1.6108949416342284,1.0,0.0,23.543829892723853,20.0,0.0,20.0,23.543829892723853,1.0,1.1007340988683576,4.19,4.12,169.078858379548, ,0.0, ,0.0,0.26000000000000023,0,3.0,0.0
2.0,3.0, ,autonomous,0.0,1.0,0.0,1.6108949416342284,1.0,0.0,3.861684427052872,20.0,0.0,20.0,3.861684427052872,1.0,3.064168731394417,3.57,3.45,172.384071711774, ,0.0, ,0.0,-0.6450000000000005,0,3.0,0.0
3.0,3.0, ,autonomous,0.0,1.0,0.0,1.6108949416342284,1.0,0.0,-3.6449721574089047,20.0,0.0,20.0,-3.6449721574089047,1.0,4.272621015925022,3.97,3.89,173.028342042427, ,0.0, ,0.0,0.4200000000000004,0,3.0,0.0
4.0,3.0, ,autonomous,0.0,1.0,0.0,-0.2677958342870284,1.0,0.0,-3.402399790261448,20.0,0.0,20.0,-3.402399790261448,1.0,4.922059393844501,3.79,3.72,169.23337282111999, ,0.0, ,0.0,-0.17500000000000027,0,3.0,0.0
5.0,3.0, ,autonomous,0.0,1.0,0.0,0.02609292744335789,1.0,0.0,-2.7361192846473585,20.0,0.0,20.0,-2.7361192846473585,1.0,5.50856515737672,3.9,3.88,177.33640716439098, ,0.0, ,0.0,0.1349999999999998,0,3.0,0.0
6.0,3.0, ,autonomous,0.0,1.0,0.0,0.02609292744335789,1.0,0.0,-2.0741682251097937,20.0,0.0,20.0,-2.0741682251097937,1.0,6.404065320076152,3.83,3.88,170.951859956236, ,0.0, ,0.0,-0.0349999999999997,0,3.0,0.0
7.0,3.0, ,autonomous,0.0,1.0,0.0,0.17166399633782706,1.0,0.0,-1.5254362547548863,20.0,0.0,20.0,-1.5254362547548863,1.0,7.0058876829050005,3.74,3.72,172.54468907447, ,0.0, ,0.0,-0.12499999999999956,0,3.0,0.0
8.0,3.0, ,autonomous,0.0,1.0,0.0,0.17166399633782706,1.0,0.0,-1.091088718918484,20.0,0.0,20.0,-1.091088718918484,1.0,7.492685685598402,3.77,3.71,175.487856240348, ,0.0, ,0.0,0.009999999999999787,0,3.0,0.0
9.0,3.0, ,autonomous,0.0,1.0,0.0,0.17166399633782706,1.0,0.0,-0.7657202546660544,20.0,0.0,20.0,-0.7657202546660544,1.0,7.894652828728014,4.02,3.95,174.003828084218, ,0.0, ,0.0,0.24499999999999966,0,3.0,0.0
10.0,3.0, ,autonomous,0.0,1.0,0.0,0.17166399633782706,1.0,0.0,-0.5221642040066241,20.0,0.0,20.0,-0.5221642040066241,1.0,8.231624657559022,3.92,3.84,179.05102954342, ,0.0, ,0.0,-0.10499999999999998,0,3.0,0.0
11.0,3.0, ,autonomous,0.0,1.0,0.0,-0.2760357061112302,1.0,0.0,-0.34685062746092754,20.0,0.0,20.0,-0.34685062746092754,1.0,8.549255427805669,5.0,5.0,172.866823399253, ,0.0, ,0.0,1.12,0,3.0,0.0
