TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,0,0,20,0,3.69,3.76,275.6567522121, ,0, ,,0,0,0.8,3.9760479042,0,0
1,3, ,autonomous,0,-9.9294775214,20,1.0044791239,4.18,4.11,274.6347358014, ,0, ,,0,0.42,0.8,3.9760479042,0,0
2,3, ,autonomous,0,-3.9322145959,20,3.0641624658,3.91,4.01,273.1717977436, ,0, ,,0,-0.185,0.8,3.9760479042,0,0
3,3, ,autonomous,0,-1.3562236118,20,4.2726167323,3.85,3.82,272.3904990194, ,0, ,,0,-0.125,0.8,3.9760479042,0,0
4,3, ,autonomous,0,-0.9694154189,20,4.9220539774,3.92,3.98,272.3904990194, ,0, ,,0,0.115,0.8,3.9760479042,0,0
5,3, ,autonomous,0,-0.7636353653,20,5.5678535698,3.9,3.88,279.2360102759, ,0, ,,0,-0.06,0.8,3.9760479042,0,0
6,3, ,autonomous,0,-0.587824435,20,6.4040631807,3.48,3.59,275.9991168028, ,0, ,,0,-0.355,0.8,3.9760479042,0,0
7,3, ,autonomous,0,-0.4328645754,20,7.0058865239,3.91,4,273.1717977436, ,0, ,,0,0.42,0.8,3.9760479042,0,0
8,3, ,autonomous,0,-0.3109340456,20,7.4926851027,3.75,3.75,268.8750268875, ,0, ,,0,-0.205,0.8,3.9760479042,0,0
9,3, ,autonomous,0,-0.2182082276,20,7.894652551,3.92,3.84,267.7949761662, ,0, ,,0,0.13,0.8,3.9760479042,0,0
10,3, ,autonomous,0,-0.1480059243,20,8.2316245327,3.8,3.78,266.1910719514, ,0, ,,0,-0.09,0.8,3.9760479042,0,0
11,3, ,autonomous,0,-0.0948837488,20,8.5492553735,3.74,3.74,265.5548769153, ,0, ,,0,-0.05,0.8,3.9760479042,0,0
12,3, ,autonomous,0,-0.062142005,20,8.8657202146,3.76,3.8,265.7666037686, ,0, ,,0,0.04,0.8,3.9760479042,0,0
13,3, ,autonomous,0,-0.0455028608,20,9.1813648787,3.88,4.03,266.616898179, ,0, ,,0,0.175,0.8,3.9760479042,0,0
14,3, ,autonomous,0,-0.028437671,20,9.6906158375,3.7,3.75,267.4726509214, ,0, ,,0,-0.23,0.8,3.9760479042,0,0
15,3, ,autonomous,0,-0.0198513162,20,10.0182550426,4.15,4.25,268.4419628476, ,0, ,,0,0.475,0.8,3.9760479042,0,0
16,3, ,autonomous,0,-0.0087355669,20,10.3108668156,3.57,3.67,269.2007429941, ,0, ,,0,-0.58,0.8,3.9760479042,0,0
17,3, ,autonomous,0,-0.0059386269,20,10.5739091609,3.95,3.85,269.3094904664, ,0, ,,0,0.28,0.8,3.9760479042,0,0
18,4,obstacle alarm,autonomous,0,48.1201069696,20,10.810262715,4.24,4.07,270.2921858529,obstacle detected,36.5770301819,obstacle detected,obstacle detected,34.4168586731,0.255,0.8,3.9760479042,1,0
19,4,obstacle alarm,autonomous,0,13.2290763514,20,11.024019327,4.47,4.36,271.0614767429, ,0,obstacle detected,,23.5568199158,0.26,0.8,3.9760479042,0,0
20,4,obstacle alarm,autonomous,0,-17.6182723045,20,11.2110910125,4.1,4.13,271.3925149944, ,0,obstacle detected,,13.7005748749,-0.3,0.8,3.9760479042,0,0
21,4,obstacle alarm,autonomous,0,19.7650473483,20,11.4374995064,4.04,3.98,266.4038149026, ,0,obstacle detected,,4.553668499,-0.105,0.8,3.9760479042,0,0
22,4, ,autonomous,0,-5.2515460537,20,11.6416540904,4.05,4.01,258.6519062645, ,0, ,,0,0.02,0.8,3.9760479042,0,0
23,4, ,autonomous,0,-5.3272393731,20,11.844690353,3.73,3.69,254.7965449589, ,0, ,,0,-0.32,0.8,3.9760479042,0,0
24,4, ,autonomous,0,-2.1706440945,20,12.0466867519,3.9,3.87,254.0198643534, ,0, ,,0,0.175,0.8,3.9760479042,0,0
25,4, ,autonomous,0,-0.6720058827,20,12.2476024922,3.95,3.99,254.504733788, ,0, ,,0,0.085,0.8,3.9760479042,0,0
26,4, ,autonomous,0,-0.2421764171,20,12.437452802,3.79,3.78,255.5779896235, ,0, ,,0,-0.185,0.8,3.9760479042,0,0
27,4, ,autonomous,0,-0.1432677494,20,12.6461154735,3.75,3.75,257.0561924837, ,0, ,,0,-0.035,0.8,3.9760479042,0,0
28,4, ,autonomous,0,-0.095954949,20,12.8735185205,3.72,3.63,263.2479532472, ,0, ,,0,-0.075,0.8,3.9760479042,0,0
29,4, ,autonomous,0,-0.0546048411,20,13.2096546437,3.85,3.78,263.4560160181, ,0, ,,0,0.14,0.8,3.9760479042,0,0
