Invariant,Avg,Prior,Ratio,S24,S10,S25,S8,S21,S9,S6,S16,S14,S23,S22,S26,S13,S12,S15,S7,S17,S11,S27
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 Trust_Human=Trust_Human==0 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 Trust_Human=Trust_Human>0 ),1,0.03388,29.51594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine==0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 Trust_Human=Trust_Human==0 ),0.89474,0.03388,26.409,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
P(EventW_Machine=EventW_Machine==pedestrian detected | CurrentBrake_Machine=CurrentBrake_Machine>0 Mode_H2M=autonomous CurrentThrottle_Machine=CurrentThrottle_Machine==0 Trust_Human=Trust_Human<0 ),0.89474,0.03388,26.409,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
