TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human
0.0,3.0, ,autonomous,49.99923704890517,1.0,49.99923704890517,0.0,1.0,0.0,0.0,20.0,0.0,20.0,0.0,1.0,0.0,3.43,3.56,1883.62653864034, ,0.0, ,0.0,0.0,0.8,4.283185840707965,0.0
1.0,3.0, ,autonomous,0.0,1.0,0.0,52.607461661707475,1.0,0.0,-9.766733989299992,20.0,0.0,20.0,-9.766733989299992,1.0,1.1006729551638204,3.0,3.31,1898.2946859518202, ,0.0, ,0.0,-0.33999999999999986,0.8,4.283185840707965,0.0
2.0,3.0, ,autonomous,0.0,1.0,0.0,52.67887388418403,1.0,0.0,-3.9322145958604264,20.0,0.0,20.0,-3.9322145958604264,1.0,3.0641624658147504,3.61,3.75,1918.21130632108, ,0.0, ,0.0,0.5249999999999995,0.8,4.283185840707965,0.0
3.0,3.0, ,autonomous,0.0,1.0,0.0,52.67887388418403,1.0,0.0,-1.3562236118212423,20.0,0.0,20.0,-1.3562236118212423,1.0,4.272616732261955,3.83,3.82,1928.3271646147302, ,0.0, ,0.0,0.14500000000000046,0.8,4.283185840707965,0.0
4.0,3.0, ,autonomous,0.0,1.0,0.0,52.67887388418403,1.0,0.0,-0.9694154188748688,20.0,0.0,20.0,-0.9694154188748688,1.0,4.922053977362094,3.79,3.97,1935.1305535828, ,0.0, ,0.0,0.054999999999999716,0.8,4.283185840707965,0.0
5.0,3.0, ,autonomous,0.0,1.0,0.0,52.67887388418403,1.0,0.0,-0.7636353652717283,20.0,0.0,20.0,-0.7636353652717283,1.0,5.567853569846753,3.57,3.71,1952.35092336437, ,0.0, ,0.0,-0.2400000000000002,0.8,4.283185840707965,0.0
6.0,3.0, ,autonomous,0.0,1.0,0.0,52.67887388418403,1.0,0.0,-0.5878244350492476,20.0,0.0,20.0,-0.5878244350492476,1.0,6.404063180704586,3.64,3.82,1923.25593382153, ,0.0, ,0.0,0.0900000000000003,0.8,4.283185840707965,0.0
7.0,3.0, ,autonomous,0.0,1.0,0.0,52.67887388418403,1.0,0.0,-0.4328645754387699,20.0,0.0,20.0,-0.4400903424951737,1.0,6.978889695869817,3.83,4.13,1898.2946859518202, ,0.0, ,0.0,0.25,0.8,4.283185840707965,0.0
8.0,3.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.3109340455865346,20.0,0.0,20.0,-0.3109340455865346,1.0,7.49268510268213,3.55,3.8,1850.26678996845, ,0.0, ,0.0,-0.30500000000000016,0.8,4.283185840707965,0.0
9.0,3.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.2182082276220938,20.0,0.0,20.0,-0.2182082276220938,1.0,7.894652551003229,3.38,3.52,1853.3929137375303, ,0.0, ,0.0,-0.22499999999999964,0.8,4.283185840707965,0.0
10.0,3.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.14800592432503626,20.0,0.0,20.0,-0.14800592432503626,1.0,8.231624532726387,3.12,3.18,1867.59219555633, ,0.0, ,0.0,-0.2999999999999998,0.8,4.283185840707965,0.0
11.0,4.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.09488374877768158,20.0,0.0,20.0,-0.09488374877768158,1.0,8.549255373517804,3.44,3.6,1872.37376175242, ,0.0, ,0.0,0.36999999999999966,0.8,4.283185840707965,1.0
12.0,5.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.06335541560716608,20.0,0.0,20.0,-0.06335541560716608,1.0,8.84991603449563,3.05,5.0,1885.2451289979, ,0.0, ,0.0,0.5050000000000003,0.8,4.283185840707965,1.0
13.0,5.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.0455028607956639,20.0,0.0,20.0,-0.0455028607956639,1.0,9.181364878697003,3.35,3.49,1885.2451289979, ,0.0, ,0.0,-0.6050000000000004,0.8,4.283185840707965,0.0
14.0,5.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.028437671039970688,20.0,0.0,20.0,-0.028437671039970688,1.0,9.6906158374724,3.54,3.7,1872.37376175242, ,0.0, ,0.0,0.20000000000000018,0.8,4.283185840707965,0.0
15.0,5.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.0198513161776563,20.0,0.0,20.0,-0.0198513161776563,1.0,10.018255042630424,3.48,3.65,1882.01072520272, ,0.0, ,0.0,-0.05500000000000016,0.8,4.283185840707965,0.0
16.0,5.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.008735566940520703,20.0,0.0,20.0,-0.008735566940520703,1.0,10.310866815622928,3.38,3.47,1896.65362021863, ,0.0, ,0.0,-0.14000000000000012,0.8,4.283185840707965,0.0
17.0,5.0, ,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-0.005070101734298248,20.0,0.0,20.0,-0.005070101734298248,1.0,10.561442927817604,3.54,5.0,1906.5427973101, ,0.0, ,0.0,0.8449999999999998,0.8,4.283185840707965,0.0
18.0,5.0,obstacle alarm,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,48.1201069695609,20.0,0.0,20.0,48.1201069695609,1.0,10.810262715006466,3.61,3.93,1918.21130632108,obstacle detected,36.57703018188477,obstacle detected,34.416858673095696,-0.49999999999999956,0.8,4.283185840707965,0.0
19.0,5.0,obstacle alarm,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,13.22907635143825,20.0,0.0,20.0,13.22907635143825,1.0,11.024019326958568,3.59,5.0,1930.0235231267002, ,0.0,obstacle detected,23.556819915771484,0.5249999999999999,0.8,4.283185840707965,0.0
20.0,5.0,obstacle alarm,autonomous,0.0,1.0,0.0,52.82444495307851,1.0,0.0,-12.581595182418823,20.0,0.0,20.0,-12.581595182418823,1.0,11.231753954215188,3.57,5.0,1935.1305535828, ,0.0,obstacle detected,12.606852531433105,-0.009999999999999787,0.8,4.283185840707965,0.0
21.0,5.0,obstacle alarm,autonomous,0.0,1.0,0.0,52.840924696726944,1.0,0.0,19.765047348271416,20.0,0.0,20.0,19.765047348271416,1.0,11.437499506398952,3.65,3.99,1930.0235231267002, ,0.0,obstacle detected,4.55366849899292,-0.46499999999999986,0.8,4.283185840707965,0.0
22.0,5.0, ,autonomous,0.0,1.0,0.0,52.868390936141004,1.0,0.0,-5.251546053729999,20.0,0.0,20.0,-5.251546053729999,1.0,11.64165409035378,3.48,3.56,1931.72286885572, ,0.0, ,0.0,-0.30000000000000027,0.8,4.283185840707965,0.0
