TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.24,4.45,458.3581610671, ,0, ,,0,0,0.8,3,0,0
1,3, ,autonomous,0,1,0,2.8523689631,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,4.15,4.24,462.8129772759, ,0, ,,0,-0.15,0.8,3,0,0
2,3, ,autonomous,0,1,0,2.8523689631,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,4.35,4.67,467.6830979328, ,0, ,,0,0.315,0.8,3,0,0
3,3, ,autonomous,0,1,0,2.8523689631,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,4.27,4.51,465.3976823195, ,0, ,,0,-0.12,0.8,3,0,0
4,3, ,autonomous,0,1,0,2.8523689631,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,4.21,4.37,467.6830979328, ,0, ,,0,-0.1,0.8,3,0,0
5,3, ,autonomous,0,1,0,2.8523689631,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,4.47,4.53,472.9921483303, ,0, ,,0,0.21,0.8,3,0,0
6,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,4.43,4.64,478.7666969886, ,0, ,,0,0.035,0.8,3,0,0
7,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.6283352647,20,0,20,-0.6283352647,1,6.9788898016,4.07,4.14,483.278561763, ,0, ,,0,-0.43,0.8,3,0,0
8,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.439822629,20,0,20,-0.439822629,1,7.492685155,4.04,4.25,486.8075163081, ,0, ,,0,0.04,0.8,3,0,12
9,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,4.2,4.12,491.4729444144, ,0, ,,0,0.015,0.8,3,0,12
10,3, ,autonomous,0,1,0,2.8523689631,1,0,-0.2091058256,20,0,20,-0.2091058256,1,8.2316245441,4.3,4.26,501.45421723, ,0, ,,0,0.12,0.8,3,0,12
11,3,obstacle alarm,autonomous,0,1,0,2.8523689631,1,0,-0.1432081844,20,0,20,-0.1432081844,1,8.5492553782,4.5,4.59,488.2335709403, ,0,false alarm,false alarm,38.4611968994,0.265,0.8,3,0,12
12,3,obstacle alarm,autonomous,0,1,0,3.4099336233,1,0,-0.094500822,20,0,20,-0.094500822,1,8.8657202164,4.44,4.61,483.9802536057, ,0,false alarm,,30.0436019897,-0.02,0.8,3,0,12
13,3,obstacle alarm,autonomous,0,1,0,2.9155413138,1,0,-0.0607624024,20,0,20,-0.0607624024,1,9.1813648794,4.19,4.22,454.60744647, ,0,false alarm,,21.3955116272,-0.32,0.8,3,0,12
14,3, ,autonomous,0,1,0,2.907301442,1,0,-0.0429562836,20,0,20,-0.0429562836,1,9.6906158377,4.3,4.55,413.958686923, ,0, ,,0,0.22,0.8,3,0,12
15,3, ,autonomous,0,1,0,2.9622339208,1,0,3.1712857456,20,0,20,3.1712857456,1,10.0157426421,4.7,4.72,419.6919461116, ,0, ,,0,0.285,0.8,3,0,12
16,3, ,autonomous,0,1,0,3.8246738384,1,0,-2.69571017,20,0,20,-2.69571017,1,10.0735316396,4.59,4.53,434.1785342133, ,0, ,,0,-0.15,0.8,3,0,12
17,0, ,manual,0,1,0,3.8081940948,1,0,-7.6163881895,0,0,20,1.9674807577,1,10.353630698,4.63,4.58,419.1641866119, ,0, ,,0,0.045,0.8,3,-3,0
18,0, ,manual,0,1,0,2.1602197299,1,0,-4.3204394598,0,0,20,40.8163886686,1,10.3085060677,4.76,4.86,404.1710451863, ,0, ,,0,0.205,0.8,3,0,0
19,0, ,manual,0,1,0,-4.3987182422,1,0,8.7974364843,0,0,20,64.9528249463,1,10.1781243955,4.6,4.65,404.9074786411, ,0, ,,0,-0.185,0.8,3,0,0
20,0, ,manual,0,1,0,-3.9757381552,1,0,7.9514763104,0,0,20,51.5788268138,1,10.0486164915,4.36,4.37,421.8163411651, ,0, ,,0,-0.26,0.8,3,0,0
21,0, ,manual,0,1,0,0.045319295,1,0,-0.0906385901,0,0,20,30.4283870748,1,9.919958133,4.53,4.62,437.0247356, ,0, ,,0,0.21,0.8,3,0,0
22,0, ,manual,0,1,0,0.0260929274,1,0,-0.0521858549,0,0,20,29.367828009,1,9.7921719176,4.06,4.12,458.3581610671, ,0, ,,0,-0.485,0.8,3,0,0
23,0, ,manual,0,1,22.6428625925,-0.2760357061,1,0,0.5520714122,22.6428625925,0,20,25.1129012249,1,9.6630554941,4.51,4.77,462.8129772759, ,0, ,,0,0.55,0.8,3,0,0
24,0, ,manual,0,1,0,0.5589379721,1,0,-1.1178759442,0,0,20,22.7816427674,1,9.856898911,4.32,4.24,466.7008913987, ,0, ,,0,-0.36,0.8,3,0,0
25,0, ,manual,0,1,0,0.5589379721,1,0,-1.1178759442,0,0,20,25.4325196297,1,10.2918432231,4.34,4.64,477.0537162484, ,0, ,,0,0.21,0.8,3,0,0
26,0, ,manual,0,1,0,0.5314717327,1,0,-1.0629434653,0,0,20,30.0712280396,1,10.1615236549,4.08,4,487.8762745768, ,0, ,,0,-0.45,0.8,3,0,0
27,0, ,manual,0,1,0,0.0260929274,1,0,-0.0521858549,0,0,20,31.2505118228,1,10.0321250428,3.98,3.89,502.2097227802, ,0, ,,0,-0.105,0.8,3,0,0
28,0, ,manual,0,1,0,0.1524376287,1,0,-0.3048752575,0,0,20,41.4970618274,1,9.9100002783,4.23,4.15,514.2181313313, ,0, ,,0,0.255,0.8,3,0,0
29,0, ,manual,0,1,0,0.1524376287,1,0,-0.3048752575,0,0,20,47.764755477,1,9.7759162465,4.49,4.36,522.6845076312, ,0, ,,0,0.235,0.8,3,0,0
30,0, ,manual,0,1,14.7219043259,-0.3941405356,1,0,0.7882810712,14.7219043259,0,20,52.7061900645,1,9.6490773865,4.26,4.15,533.5609860207, ,0, ,,0,-0.22,0.8,3,0,0
31,0, ,manual,0,1,20.6622415503,-1.2043945983,1,0,2.4087891966,20.6622415503,0,20,53.9124323945,1,9.5242547955,4.58,4.48,528.0667476369, ,0, ,,0,0.325,0.8,3,0,0
32,0, ,manual,0,1,17.8576333257,-6.8020141909,1,0,13.6040283818,17.8576333257,0,20,37.4538626142,1,9.8330318202,4.55,4.66,531.0110450297, ,0, ,,0,0.075,0.8,3,0,0
33,0, ,manual,0,1,12.823682002,-16.593728542,1,0,33.187457084,12.823682002,0,20,-48.0421964563,1,10.0537625388,4.81,5,555.3395901594, ,0, ,,0,0.3,0.8,3,0,0
34,0, ,manual,0,1,0,-25.5394827192,1,0,51.0789654383,0,0,20,-131.2615389839,1,10.0565934318,4.95,4.82,540.0442836313, ,0, ,,0,-0.02,0.8,3,0,0
35,0, ,manual,0,1,0,-28.7695124743,1,0,57.5390249485,0,0,20,-46.5847306118,1,9.956837999,4.75,4.73,510.6730671024, ,0, ,,0,-0.145,0.8,3,0,0
36,0, ,manual,0,1,0,-21.4717326619,1,0,42.9434653239,0,0,20,-67.580022305,1,9.8283453533,4.75,4.67,504.4899606498, ,0, ,,0,-0.03,0.8,3,0,0
37,0, ,manual,0,1,0,-6.1071183337,1,0,12.2142366674,0,0,20,-71.4473057832,1,9.7005732267,4.56,4.78,505.6378621631, ,0, ,,0,-0.04,0.8,3,0,0
38,0, ,manual,0,1,0,-6.1181048295,1,0,12.236209659,0,0,20,-22.3044712024,1,9.574222036,4.08,4.06,512.6364894653, ,0, ,,0,-0.6,0.8,3,0,0
39,0, ,manual,0,1,0,-10.2847333486,1,0,20.5694666972,0,0,20,6.6826277597,1,9.4487407946,4.15,4.15,525.1549207016, ,0, ,,0,0.08,0.8,3,0,0
40,0, ,manual,0,1,0,-9.6639963378,1,0,19.3279926757,0,0,20,9.1891988718,1,9.3240482965,4.4,4.14,531.0110450297, ,0, ,,0,0.12,0.8,3,0,0
41,0, ,manual,0,1,0,-9.1696040284,1,0,18.3392080568,0,0,20,-14.7050630004,1,9.2001114623,4.54,4.56,526.8148772521, ,0, ,,0,0.28,0.8,3,0,0
42,0, ,manual,0,1,0,-3.2286564431,1,0,6.4573128862,0,0,20,-24.3526811221,1,9.0768265525,4.71,4.39,521.0504376824, ,0, ,,0,0,0.8,3,0,0
43,0, ,manual,0,1,0,-1.3197528038,1,0,2.6395056077,0,0,20,-6.1333110071,1,8.9544145675,4.87,4.53,528.4853609555, ,0, ,,0,0.15,0.8,3,0,0
44,0, ,manual,0,1,0,-0.4023804074,1,0,0.8047608148,0,0,20,28.9909333737,1,8.8327665106,4.76,4.68,532.708288941, ,0, ,,0,0.02,0.8,3,0,0
45,0, ,manual,0,1,0,-5.4341954681,1,0,10.8683909361,0,0,20,82.585174219,1,8.7118622038,5.04,4.79,538.7350501024, ,0, ,,0,0.195,0.8,3,0,0
46,0, ,manual,0,1,0,-3.0116731518,1,0,6.0233463035,0,0,20,118.6398208531,1,8.5917239921,5,5,544.4547285893, ,0, ,,0,0.085,0.8,3,0,0
47,0,truck alarm,manual,0,1,2.751201648,16.6486610208,1,0,-33.2973220417,2.751201648,0,20,-38.5514197203,1,8.4725146038,4.33,4.31,533.1342965293,truck detected,35.350818634,truck detected,truck detected,30.4071331024,-0.68,0.8,3,0,0
