TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,EventAlert_Machine,RangeW_Machine,PupilChange_Human,Reliability_Machine,AverageTrust_Human,TrustChange_Human,ModeDelta_H2M
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.97,5.2,370.8923670351, ,0, ,,0,0,0,3.8121546961,0,0
1,3, ,autonomous,0,1,0,0.4243533989,1,0,32.9827214302,20,0,20,32.9827214302,1,0.9112830411,5.3,5.49,368.636413905, ,0, ,,0,0.31,0,3.8121546961,0,0
2,3, ,autonomous,0,1,0,0.4243533989,1,0,6.8788787055,20,0,20,6.8788787055,1,2.9828266439,5.02,5.07,367.6200279391, ,0, ,,0,-0.35,0,3.8121546961,0,0
3,3, ,autonomous,0,1,0,0.4243533989,1,0,-4.2016826098,20,0,20,-4.2016826098,1,4.2726225672,4.95,5.29,367.0128821522, ,0, ,,0,0.075,0,3.8121546961,0,0
4,3, ,autonomous,0,1,0,0.4243533989,1,0,-3.9910280429,20,0,20,-3.9910280429,1,4.9220615987,4.9,5.04,365.203418304, ,0, ,,0,-0.15,0,3.8121546961,0,0
5,3, ,autonomous,0,1,0,0.4243533989,1,0,-3.1745730595,20,0,20,-3.1745730595,1,5.5678584277,5.03,5.36,364.0069889342, ,0, ,,0,0.225,0,3.8121546961,0,0
6,3, ,autonomous,0,1,0,0.4243533989,1,0,-2.4323559048,20,0,20,-2.4323559048,1,6.4040661925,5,5.26,363.4117091253, ,0, ,,0,-0.065,0,3.8121546961,0,0
7,3, ,autonomous,0,1,0,0.4243533989,1,0,-1.7974591769,20,0,20,-1.7974591769,1,7.0058881548,4.78,5.23,364.4049267546, ,0, ,,0,-0.125,0,3.8121546961,0,0
8,3, ,autonomous,0,1,0,0.4325932708,1,0,-1.2824978425,20,0,20,-1.2824978425,1,7.4926859207,5.02,5.39,365.0034675329, ,0, ,,0,0.2,0,3.8121546961,0,0
9,3, ,autonomous,0,1,0,0.4243533989,1,0,-0.896288963,20,0,20,-0.896288963,1,7.8946529373,4.99,5,361.6374945754, ,0, ,,0,-0.21,0,3.8121546961,0,0
10,3, ,autonomous,0,1,0,0.4243533989,1,0,-0.6117131866,20,0,20,-0.6117131866,1,8.2316247091,4.78,4.87,357.3725966693, ,0, ,,0,-0.17,0,3.8121546961,0,0
