TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,4.67,4.49,577.4672287348, ,0, ,0,76,0,0,sunny,4.7624309392,0,-0.3061486915,7.8946525755
1,3, ,autonomous,0,1,0,73.1274891279,1,0,-4.250870464,20,0,20,-4.250870464,1,1.1006632961,4.11,4.11,571.0370031978, ,0, ,0,69,-0.47,0,sunny,4.7624309392,0,4.0417646384,7.130961248
2,3, ,autonomous,0,1,0,73.1274891279,1,0,-2.6401533144,20,0,20,-2.6401533144,1,3.0641576302,3.97,3.98,572.0169317012, ,0, ,0,79,-0.135,0,sunny,4.7624309392,0,2.49694513,5.485097748
3,3, ,autonomous,0,1,0,73.1274891279,1,0,-1.7324642348,20,0,20,-1.7324642348,1,4.2726172087,4.28,4.1,573.9869130984, ,0, ,0,69,0.215,0,sunny,4.7624309392,0,1.6379634128,4.5931030077
4,3, ,autonomous,0,1,0,73.1274891279,1,0,-1.3673020744,20,0,20,-1.3673020744,1,4.9220544556,4.3,4.09,580.9900069719, ,0, ,0,74,0.005,0,sunny,4.7624309392,0,1.306539672,4.2593104238
5,4, ,autonomous,0,1,0,73.1274891279,1,0,-1.0871471231,20,0,20,-1.0871471231,1,5.5678538734,5,4.02,533.5609860207, ,0, ,0,68,0.315,0,sunny,4.7624309392,1,1.0441908395,4.1227619643
6,4, ,autonomous,0,1,0,73.1274891279,1,0,-0.8328539001,20,0,20,-0.8328539001,1,6.4040633703,3.99,3.92,479.1107704101, ,0, ,0,71,-0.555,0,sunny,4.7624309392,0,0.811510184,3.6141916725
7,4, ,autonomous,0,1,0,73.1274891279,1,0,-0.6111120046,20,0,20,-0.6111120046,1,7.0058866267,3.49,3.52,468.340202323, ,0, ,0,80,-0.45,0,sunny,4.7624309392,0,0.5904296325,3.3049801889
8,4, ,autonomous,0,1,0,73.1274891279,1,0,-0.4510414314,20,0,20,-0.4510414314,1,7.4703753971,3.84,3.71,483.6291531654, ,0, ,0,68,0.27,0,sunny,4.7624309392,0,0.4436729243,3.1035337638
9,4, ,autonomous,0,1,0,73.1274891279,1,0,-0.3061486915,20,0,20,-0.3061486915,1,7.8946525755,3.77,3.76,501.8316856526, ,0, ,0,73,-0.01,0,sunny,4.7624309392,0,0.2979051652,2.9150693664
