TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,5,3,212.3052099699, ,0, ,0,116,0,1,sunny,2.1206896552,0,4.7983520256,7.0495029845
1,3, ,autonomous,0,1,0,-4.217441062,1,0,30.8731911156,20,0,20,30.8731911156,1,1.0045647294,3.93,3.89,200.3606491685, ,0, ,0,-1,-0.09,1,sunny,2.1206896552,0,-32.5678580874,6.1425057442
2,3, ,autonomous,0,1,0,-4.1817349508,1,0,5.4046008195,20,0,20,5.4046008195,1,3.0641800455,3.61,3.51,199.0683600749, ,0, ,0,-1,-0.35,1,sunny,2.1206896552,0,-9.3295264318,5.8389906264
3,3, ,autonomous,0,1,0,-4.1652552071,1,0,-4.1016302319,20,0,20,-4.1016302319,1,4.2726222637,3.96,3.88,197.5816012013, ,0, ,0,105,0.36,1,sunny,2.1206896552,0,-3.4378524873,4.8819508609
4,3, ,autonomous,0,1,0,-4.1652552071,1,0,-3.8845297061,20,0,20,-3.8845297061,1,4.9220611735,4,3.9,198.6412935521, ,0, ,0,116,0.03,1,sunny,2.1206896552,0,-3.8582031848,4.3809116097
5,3, ,autonomous,0,1,0,-4.1652552071,1,0,-3.0916931281,20,0,20,-3.0916931281,1,5.5678581574,3.86,3.91,182.043253477, ,0, ,0,98,-0.065,1,sunny,2.1206896552,0,-4.1072082224,4.395674981
6,3, ,autonomous,0,1,0,-4.1652552071,1,0,-2.3687031344,20,0,20,-2.3687031344,1,6.4040660256,4.2,4.16,171.9040088015, ,0, ,0,102,0.295,1,sunny,2.1206896552,0,2.3659565104,5.0663868489
7,0, ,manual,0,1,0,-4.1652552071,1,0,8.3305104143,0,0,20,-1.7756106628,1,6.9788912872,4.32,4.32,175.6543123134, ,0, ,0,108,0.14,1,sunny,2.1206896552,-3,-5.1306935225,5.4994200649
8,0, ,manual,0,1,6.0517280842,-2.4184023804,1,0,4.8368047608,6.0517280842,0,20,-32.0302015572,1,7.1679754864,4.62,4.6,181.1528567806, ,0, ,0,114,0.29,1,sunny,2.1206896552,0,-0.3790341039,5.5175399883
9,0, ,manual,0,1,29.1676203555,-2.3991760128,1,0,4.7983520256,29.1676203555,0,20,-62.5622508748,1,7.0495029845,4.39,4.3,184.216343674, ,0, ,0,111,-0.265,1,sunny,2.1206896552,0,-2.2851911192,5.8606886274
10,0, ,manual,0,1,45.1758602274,0.8473334859,1,0,-1.6946669718,45.1758602274,0,20,-88.0264405911,1,7.1470704736,4.13,4.04,179.571900589, ,0, ,0,114,-0.26,1,sunny,2.1206896552,0,3.6859693294,5.9407325392
11,0, ,manual,0,1,0,1.9624628061,1,0,-3.9249256123,0,0,20,-98.9858181818,1,8.9031706719,4.44,4.29,180.6227873709, ,0, ,0,112,0.28,1,sunny,2.1206896552,0,4.7461661707,4.8123174215
12,0, ,manual,0,1,23.7155718318,3.7697413596,1,0,-7.5394827192,23.7155718318,0,20,-101.7186376929,1,9.1545731247,4.37,4.33,184.7677469421, ,0, ,0,-1,-0.015,1,sunny,2.1206896552,0,6.4600595102,4.9528400863
13,0, ,manual,0,1,23.7155718318,3.8713664454,1,0,-7.7427328908,23.7155718318,0,20,-81.5596653517,1,9.3029727832,4.06,4.07,177.8473358469, ,0, ,0,-1,-0.285,1,sunny,2.1206896552,0,5.9601739528,4.6503355146
14,0, ,manual,0,1,49.3018997482,3.5994506752,1,0,-7.1989013504,49.3018997482,0,20,-48.2702990619,1,9.9635331383,3.89,3.81,178.3612171369, ,0, ,0,-1,-0.215,1,sunny,2.1206896552,0,5.4163424125,0.7374674288
15,0, ,manual,0,1,22.2308690013,0.001373312,1,0,-0.0027466239,22.2308690013,0,20,-7.0981905714,1,11.4704528745,4.05,4.1,183.1233518898, ,0, ,0,112,0.225,1,sunny,2.1206896552,0,-1.7248798352,-5.6079106513
16,0, ,manual,0,1,9.3583581292,-1.5999084459,1,0,3.1998168917,9.3583581292,0,20,14.4224073635,1,12.4783113521,4.14,4.21,182.5817053131, ,0, ,0,106,0.1,1,sunny,2.1206896552,0,-4.8944838636,-8.4090037355
17,0, ,manual,0,1,26.6056305791,-2.2288853285,1,0,4.4577706569,26.6056305791,0,20,20.8270976242,1,12.6855154747,3.91,3.88,183.1233518898, ,0, ,0,-1,-0.28,1,sunny,2.1206896552,0,-6.1524376287,-8.7389688366
18,0, ,manual,0,1,19.8367284657,-1.2565804532,1,0,2.5131609064,19.8367284657,0,20,18.40068369,1,12.9101916119,4.14,4.2,181.1528567806, ,0, ,0,114,0.275,1,sunny,2.1206896552,0,-4.2078278782,-8.4716700786
19,0, ,manual,0,1,33.9543755245,-0.9956511788,1,0,1.9913023575,33.9543755245,0,20,12.7017086866,1,13.0878030128,3.55,3.45,180.6227873709, ,0, ,0,108,-0.67,1,sunny,2.1206896552,0,-3.6859693294,-6.4343520264
20,0, ,manual,0,1,31.5602349889,-0.4106202792,1,0,0.8212405585,31.5602349889,0,20,4.7719742735,1,13.7154880934,3.76,3.73,183.6682217243, ,0, ,0,101,0.245,1,sunny,2.1206896552,0,-0.1812771801,-4.2427065513
21,0, ,manual,0,1,0,0.5397116045,1,0,-1.079423209,0,0,20,-1.2249355451,1,14.1074132109,4.09,4.08,186.6298383786, ,0, ,0,102,0.34,1,sunny,2.1206896552,0,3.9166857404,-3.1744547227
22,0, ,manual,0,1,0,0.891279469,1,0,-1.782558938,0,0,20,2.4857504137,1,13.9533082978,4.01,4.05,186.6298383786, ,0, ,0,112,-0.055,1,sunny,2.1206896552,0,4.641794461,-2.9899002002
23,0, ,manual,84.16723888,1,0,0.891279469,1,84.16723888,-1.782558938,0,0,20,12.2158257046,1,10.7010005672,4.26,4.15,183.1233518898, ,0, ,0,-1,0.175,1,sunny,2.1206896552,0,6.6358434424,-2.0278765386
24,0, ,manual,59.32402533,1,0,0.8638132296,1,59.32402533,-1.7276264591,0,0,20,22.7019733112,1,5.8625422232,3.89,3.84,185.3224610823, ,0, ,0,-1,-0.34,1,sunny,2.1206896552,0,8.7397573816,0.0391836003
25,0, ,manual,0,1,11.5861753262,0.8473334859,1,0,-1.6946669718,11.5861753262,0,20,30.012350273,1,4.0693076166,4.26,4.17,179.7461983679, ,0, ,0,108,0.35,1,sunny,2.1206896552,0,11.3545433738,1.715710852
26,0, ,manual,0,1,23.7979705501,0.8473334859,1,0,-1.6946669718,23.7979705501,0,20,36.624636301,1,3.9465466381,4.34,4.32,178.8780767029, ,0, ,0,98,0.115,1,sunny,2.1206896552,0,24.7855344472,1.9423471483
