TimeSignal_Sec,Trust_Human,Alarm_M2H,Mode_H2M,ManualBrake_H2M,ManualGear_H2M,ManualThrottle_H2M,ManualWheel_H2M,CurrentGear_Machine,CurrentBrake_Machine,CurrentWheel_Machine,CurrentThrottle_Machine,AutoBrake_Machine,AutoThrottle_Machine,AutoWheel_Machine,AutoGear_Machine,Speed_Machine,PupilLeft_Human,PupilRight_Human,GSR_Human,EventN_Machine,RangeN_Machine,EventW_Machine,RangeW_Machine,HeartRate,PupilChange_Human,Reliability_Machine,Weather,AverageTrust_Human,TrustChange_Human,CurrentWheel_MachineDelta,Speed_Delta
0,3, ,autonomous,49.9992370489,1,49.9992370489,0,1,0,0,20,0,20,0,1,0,3.69,3.76,275.6567522121, ,0, ,0,89,0,0.8,rainy,3.9760479042,0,-0.2182082276,7.894652551
1,3, ,autonomous,0,1,0,1.8086518654,1,0,-9.9294775214,20,0,20,-9.9294775214,1,1.0044791239,4.18,4.11,274.6347358014, ,0, ,0,94,0.42,0.8,rainy,3.9760479042,0,9.7814715971,7.2271454088
2,3, ,autonomous,0,1,0,1.8086518654,1,0,-3.9322145959,20,0,20,-3.9322145959,1,3.0641624658,3.91,4.01,273.1717977436, ,0, ,0,92,-0.185,0.8,rainy,3.9760479042,0,3.8373308471,5.4850929077
3,3, ,autonomous,0,1,0,1.8086518654,1,0,-1.3562236118,20,0,20,-1.3562236118,1,4.2726167323,3.85,3.82,272.3904990194, ,0, ,0,94,-0.125,0.8,rainy,3.9760479042,0,1.2940816068,4.5931034823
4,3, ,autonomous,0,1,0,1.8086518654,1,0,-0.9694154189,20,0,20,-0.9694154189,1,4.9220539774,3.92,3.98,272.3904990194, ,0, ,0,89,0.115,0.8,rainy,3.9760479042,0,0.9239125581,4.2593109013
5,3, ,autonomous,0,1,0,1.8086518654,1,0,-0.7636353653,20,0,20,-0.7636353653,1,5.5678535698,3.9,3.88,279.2360102759, ,0, ,0,87,-0.06,0.8,rainy,3.9760479042,0,0.7351976942,4.1227622676
6,3, ,autonomous,0,1,0,1.8086518654,1,0,-0.587824435,20,0,20,-0.587824435,1,6.4040631807,3.48,3.59,275.9991168028, ,0, ,0,89,-0.355,0.8,rainy,3.9760479042,0,0.5679731189,3.6141918619
7,3, ,autonomous,0,1,0,1.8086518654,1,0,-0.4328645754,20,0,20,-0.4328645754,1,7.0058865239,3.91,4,273.1717977436, ,0, ,0,93,0.42,0.8,rainy,3.9760479042,0,0.4241290085,3.3049802917
8,3, ,autonomous,0,1,0,1.8086518654,1,0,-0.3109340456,20,0,20,-0.3109340456,1,7.4926851027,3.75,3.75,268.8750268875, ,0, ,0,101,-0.205,0.8,rainy,3.9760479042,0,0.3049954186,3.0812240582
9,3, ,autonomous,0,1,0,1.8086518654,1,0,-0.2182082276,20,0,20,-0.2182082276,1,7.894652551,3.92,3.84,267.7949761662, ,0, ,0,102,0.13,0.8,rainy,3.9760479042,0,48.3383151972,2.915610164
