Invariant,Avg,Prior,Ratio,Avg Observations,Avg A Samples,S24, S10, S25, S8, S21, S9, S6, S16, S14, S23, S22, S26, S13, S12, S15, S7, S17, S11, S27
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.91692,0.95500,0.96013,2485.00000,0.96013,0.21449,0.96207,0.98675,0.95652,0.99566,0.8696,0.99288,0.98739,0.96394,0.94667,0.97917,1.0,1.0,0.96043,1.0,0.96627,0.82155,0.92416,0.89392
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.92329,0.95500,0.96679,16679.00000,0.96679,0.42244,0.96312,0.96542,0.96942,0.95975,0.96195,0.96972,0.95192,0.96333,0.92811,0.94897,0.92336,0.93303,0.957,0.92998,0.94276,0.9511,0.94231,0.95876
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.86403,0.95500,0.90475,2695.00000,0.90475,0.78247,0.8686,0.78929,0.80114,0.85975,0.89319,0.84395,0.90214,0.98646,0.70401,0.95177,0.88365,0.94257,0.87091,0.86878,0.88635,0.84956,0.78113,0.9509
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),0.94767,0.95500,0.99232,3492.00000,0.99232,0.39035,1.0,0.9863,0.98421,0.99046,0.9768,0.99236,0.9884,1.0,0.94667,1.0,1.0,1.0,1.0,0.98383,0.9869,0.95724,0.85832,0.96387
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),0.95629,0.95500,1.00135,23494.00000,1.00135,0.69462,0.9822,0.98072,0.98239,0.98014,0.97655,0.96881,0.96601,0.95133,0.98913,0.95425,0.98238,0.96389,0.95745,0.96401,0.96156,0.97307,0.98572,0.95522
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),0.93029,0.95500,0.97412,3378.00000,0.97412,0.66667,0.92889,0.92075,0.93933,0.94732,0.98325,0.98444,0.97416,0.98688,0.88632,0.94568,0.80396,0.98091,0.90403,0.95679,0.96805,0.97005,0.94688,0.98113
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),1.00000,0.95500,1.04712,2303.00000,1.04712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),1.00000,0.95500,1.04712,14525.00000,1.04712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),1.00000,0.95500,1.04712,2180.00000,1.04712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human<0 ),1.00000,0.95500,1.04712,3181.00000,1.04712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human==0 ),1.00000,0.95500,1.04712,17400.00000,1.04712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==  CurrentWheel_Machine=CurrentWheel_Machine>=20||CurrentWheel_Machine<=-20 Trust_Human=Trust_Human>0 ),1.00000,0.95500,1.04712,2123.00000,1.04712,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human<0 ),0.42105,0.95500,0.44089,13.00000,0.44089,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human==0 ),0.89474,0.95500,0.93690,34.00000,0.93690,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
P(CurrentBrake_Machine=CurrentBrake_Machine==0 | Mode_H2M=autonomous EventW_Machine=EventW_Machine==cyclist detected CurrentWheel_Machine=CurrentWheel_Machine<20&&CurrentWheel_Machine>-20 Trust_Human=Trust_Human>0 ),0.42105,0.95500,0.44089,14.00000,0.44089,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
