
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.41660 * 0.06036 / 0.07805 = 0.32216 (74) (A_count=1226)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.40564 * 0.12613 / 0.10785 = 0.47437 (112) (A_count=888)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.17741 * 0.06005 / 0.07992 = 0.13332 (46) (A_count=766)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous Trust_Human=Trust_Human>0 ) = 0.40564 * 0.11712 / 0.08331 = 0.57023 (104) (A_count=888)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.42141 / 0.32714 = 0.19990 (437) (A_count=1037)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.04015 / 0.03751 = 0.90419 (74) (A_count=1843)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine>0 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.02496 / 0.02812 = 0.74973 (46) (A_count=1843)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual ) = 0.76504 * 0.19150 / 0.15593 = 0.93953 (437) (A_count=2282)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.41660 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=1226)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous ) = 0.76504 * 0.25022 / 0.26765 = 0.71521 (571) (A_count=2282)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine<0 Mode_H2M=manual ) = 0.12122 * 0.08108 / 0.15845 = 0.06203 (24) (A_count=296)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous ) = 0.11339 * 0.39735 / 0.26688 = 0.16882 (120) (A_count=302)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous ) = 0.76504 * 0.28221 / 0.30077 = 0.71783 (644) (A_count=2282)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous ) = 0.11339 * 0.37086 / 0.29930 = 0.14050 (112) (A_count=302)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.06077 / 0.05133 = 1.00000 (112) (A_count=1843)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual ) = 0.12122 * 0.00338 / 0.00959 = 0.04270 (1) (A_count=296)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=autonomous Trust_Human=Trust_Human==0 ) = 0.40564 * 0.72523 / 0.49499 = 0.59432 (644) (A_count=888)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.41660 * 0.09788 / 0.10497 = 0.38845 (120) (A_count=1226)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual ) = 0.76504 * 0.01183 / 0.00944 = 0.95840 (27) (A_count=2282)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual ) = 0.76504 * 0.21954 / 0.18643 = 0.90094 (501) (A_count=2282)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine<0 Trust_Human=Trust_Human<0 ) = 0.84472 * 0.06511 / 0.05500 = 1.00000 (120) (A_count=1843)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.05501 = 0.00000 (0) (A_count=1037)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual Trust_Human=Trust_Human<0 ) = 0.40564 * 0.00000 / 0.00000 = 0.00000 (0) (A_count=888)
P(Speed_Machine=Speed_Machine<0 | Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.41660 * 0.35644 / 0.33473 = 0.44362 (437) (A_count=1226)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine<0 Mode_H2M=autonomous ) = 0.12122 * 0.25000 / 0.26530 = 0.11423 (74) (A_count=296)
P(Trust_Human=Trust_Human==0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous ) = 0.76504 * 0.04470 / 0.07977 = 0.42866 (102) (A_count=2282)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.17741 * 0.65405 / 0.29659 = 0.39124 (501) (A_count=766)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine<0 Trust_Human=Trust_Human>0 ) = 0.15519 * 0.02314 / 0.03751 = 0.09574 (24) (A_count=1037)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous ) = 0.11339 * 0.23179 / 0.07718 = 0.34052 (70) (A_count=302)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.48312 / 0.12173 = 0.61590 (501) (A_count=1037)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine==0 Mode_H2M=manual ) = 0.11339 * 0.00000 / 0.00963 = 0.00000 (0) (A_count=302)
P(Mode_H2M=autonomous | Speed_Machine=Speed_Machine==0 Trust_Human=Trust_Human>0 ) = 0.84472 * 0.05643 / 0.04782 = 0.99687 (104) (A_count=1843)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine==0 Mode_H2M=autonomous ) = 0.12122 * 0.35135 / 0.29970 = 0.14212 (104) (A_count=296)
P(Speed_Machine=Speed_Machine==0 | Mode_H2M=manual Trust_Human=Trust_Human==0 ) = 0.40564 * 0.03041 / 0.29221 = 0.04221 (27) (A_count=888)
P(Speed_Machine=Speed_Machine>0 | Mode_H2M=autonomous Trust_Human=Trust_Human<0 ) = 0.17741 * 0.09138 / 0.10649 = 0.15225 (70) (A_count=766)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine==0 Trust_Human=Trust_Human==0 ) = 0.15519 * 0.02604 / 0.29924 = 0.01350 (27) (A_count=1037)
P(Mode_H2M=manual | Speed_Machine=Speed_Machine>0 Trust_Human=Trust_Human<0 ) = 0.15519 * 0.00000 / 0.03209 = 0.00000 (0) (A_count=1037)
P(Trust_Human=Trust_Human>0 | Speed_Machine=Speed_Machine>0 Mode_H2M=autonomous ) = 0.12122 * 0.15541 / 0.07733 = 0.24360 (46) (A_count=296)
P(Trust_Human=Trust_Human<0 | Speed_Machine=Speed_Machine>0 Mode_H2M=manual ) = 0.11339 * 0.00000 / 0.18847 = 0.00000 (0) (A_count=302)
