Invariant,Avg,Prior,Ratio,Avg Observations,Avg A Samples, ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-10-22-56interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-16-09-05-07interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-11-19-57interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-16-08-45-02interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-11-26-51interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-08-39-33interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-17-08-34-24interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-20-21-06interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-10-30-55interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-11-08-59-37interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-20-49-02interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-20-46-25interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-20-57-55interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-17-08-44-17interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-12-19-53-11interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-10-15-27interpolatedtest.csv,  ./sweep_newinterp/split/exp_traces/sweep_for_target_2019-04-18-11-06-38interpolatedtest.csv
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.LowBattery ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.Complete /velocity.linear_x=/velocity.linear_x>=0.01||/velocity.linear_x<=-0.01 /warning_state.data=WarningState.NoVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.Default ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P(/machine_state.data=MachineState.FinishedBehavior | /mission_state.data=MissionState.InProgress /velocity.linear_x=/velocity.linear_x<0.01&&/velocity.linear_x>-0.01 /warning_state.data=WarningState.LosingVicon ),0.00000,0.03845,0.00000,0.00000,0.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
